common,strat_id,psu_id,YEAR,ST,MODE_FX,AREA_X,ID_CODE,SUB_REG,WAVE,kod,SP_CODE,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,tot_len_a,wgt_a,tot_len_b1,wgt_b1,region,month,wp_int,fl_reg,wp_catch,tot_cat,wgt_ab1,tot_len,landing,var_id,arx_method,alt_flag,date_published
,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,1,6005.713236,8,6005.713236,0,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
BONEFISH,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,8739010101,0,1,0,0,0,1,0,0,0,0,5,1,2115.164296,8,2115.164296,1,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
HARDHEAD CATFISH,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,8777180202,0,2,0,0,0,2,0,0,0,0,5,1,2115.164296,8,2115.164296,2,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
HARDHEAD CATFISH,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,8777180202,0,2,0,0,0,2,0,0,0,0,5,1,2115.164296,8,2115.164296,2,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
CREVALLE JACK,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,8835280303,0,1,0,0,0,1,0,0,0,0,5,1,2115.164296,8,2115.164296,1,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
HARDHEAD CATFISH,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,8777180202,0,3,0,0,0,3,0,0,0,0,5,1,2115.164296,8,2115.164296,3,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
FLORIDA POMPANO,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,8835280901,1,1,0,1,0,1,321,0.72,0,0,5,1,2115.164296,8,2115.164296,2,0.72,321,1,2020011253weS:8AM-8PM,,0,5/4/21
,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,1,2115.164296,8,2115.164296,0,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,1,2115.164296,8,2115.164296,0,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,1,2115.164296,8,2115.164296,0,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
CREVALLE JACK,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.53472E+15,6,1,we,8835280303,0,1,0,0,0,1,0,0,0,0,5,1,2115.164296,8,2115.164296,1,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.54372E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,2,11550.48242,8,11550.48242,0,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
CAESAR GRUNT,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.54372E+15,6,1,we,8835400106,0,1,0,0,0,1,0,0,0,0,5,2,11550.48242,8,11550.48242,1,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
HAIRY BLENNY,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.54372E+15,6,1,we,8842090307,0,1,0,0,0,1,0,0,0,0,5,2,11550.48242,8,11550.48242,1,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.54372E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,2,11550.48242,8,11550.48242,0,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
JOLTHEAD PORGY,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8835430502,1,0,0,1,0,0,285,0.590786531,0,0,5,2,12123.52098,8,12123.52098,1,0.590786531,285,1,2020021253weS:8AM-8PM,,0,5/4/21
MOJARRA FAMILY,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8835390000,0,1,0,0,0,1,0,0,0,0,5,2,12123.52098,8,12123.52098,1,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
PORGY FAMILY,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8835430000,0,1,0,0,0,1,0,0,0,0,5,2,12123.52098,8,12123.52098,1,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
PUFFER FAMILY,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8861010000,0,1,0,0,0,1,0,0,0,0,5,2,12123.52098,8,12123.52098,1,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
PUFFER FAMILY,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8861010000,0,1,0,0,0,1,0,0,0,0,5,2,12123.52098,8,12123.52098,1,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,2,12123.52098,8,12123.52098,0,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
AMBERJACK GENUS,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8835280800,0,1,0,0,0,1,0,0,0,0,5,2,12123.52098,8,12123.52098,1,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
SPANISH MACKEREL,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8850030502,0,2,0,0,0,2,0,0,0,0,5,2,12123.52098,8,12123.52098,2,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
SPANISH MACKEREL,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8850030502,2,0,0,2,0,0,1093,2.68,0,0,5,2,12123.52098,8,12123.52098,2,2.68,1093,2,2020021253weS:8AM-8PM,,0,5/4/21
,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,2,12123.52098,8,12123.52098,0,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,2,12123.52098,8,12123.52098,0,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,2,17935.96051,8,17935.96051,0,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,2,17935.96051,8,17935.96051,0,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
BLUE RUNNER,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8835280306,0,1,0,0,0,1,0,0,0,0,5,2,17935.96051,8,17935.96051,1,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
BERMUDA CHUB,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8835510102,0,1,0,0,0,1,0,0,0,0,5,2,17935.96051,8,17935.96051,1,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
PARROTFISH FAMILY,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8839030000,0,1,0,0,0,1,0,0,0,0,5,2,17935.96051,8,17935.96051,1,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
PUFFER FAMILY,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8861010000,0,1,0,0,0,1,0,0,0,0,5,2,17935.96051,8,17935.96051,1,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,2,17935.96051,8,17935.96051,0,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
HERRING FAMILY,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8747010000,0,0,18,0,18,0,0,0,0,0,5,2,17935.96051,8,17935.96051,18,0,0,18,2020021253weS:8AM-8PM,,0,5/4/21
SPANISH MACKEREL,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8850030502,0,3,0,0,0,3,0,0,0,0,5,2,17935.96051,8,17935.96051,3,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
HERRING FAMILY,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8747010000,0,0,1,0,1,0,0,0,0,0,5,2,17935.96051,8,17935.96051,1,0,0,1,2020021253weS:8AM-8PM,,0,5/4/21
REQUIEM SHARK FAMILY,2020021263weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8708020000,0,1,0,0,0,1,0,0,0,0,6,2,46640.09024,8,46640.09024,1,0,0,0,2020021263weS:8AM-8PM,,0,5/4/21
BLUEFISH,2020021263weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8835250101,1,0,0,1,0,0,315,0.36,0,0,6,2,46640.09024,8,46640.09024,1,0.36,315,1,2020021263weS:8AM-8PM,,0,5/4/21
SPANISH MACKEREL,2020021263weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8850030502,0,1,0,0,0,1,0,0,0,0,6,2,46640.09024,8,46640.09024,1,0,0,0,2020021263weS:8AM-8PM,,0,5/4/21
BLUEFISH,2020021263weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8835250101,0,1,0,0,0,1,0,0,0,0,6,2,46640.09024,8,46640.09024,1,0,0,0,2020021263weS:8AM-8PM,,0,5/4/21
CREVALLE JACK,2020021263weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8835280303,0,2,0,0,0,2,0,0,0,0,6,2,46640.09024,8,46640.09024,2,0,0,0,2020021263weS:8AM-8PM,,0,5/4/21
SPANISH MACKEREL,2020021263weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8850030502,0,2,0,0,0,2,0,0,0,0,6,2,46640.09024,8,46640.09024,2,0,0,0,2020021263weS:8AM-8PM,,0,5/4/21
SHEEPSHEAD,2020021263weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8835430301,1,1,0,1,0,1,335,0.84,0,0,6,2,7516.254796,8,7516.254796,2,0.84,335,1,2020021263weS:8AM-8PM,,0,5/4/21
GROUPER GENUS (EPINEPHELUS),2020021263weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8835020400,0,5,0,0,0,5,0,0,0,0,6,2,7516.254796,8,7516.254796,5,0,0,0,2020021263weS:8AM-8PM,,0,5/4/21
BLACK MARGATE,2020021263weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8835400304,1,0,0,1,0,0,270,0.517169768,0,0,6,2,7516.254796,8,7516.254796,1,0.517169768,270,1,2020021263weS:8AM-8PM,,0,5/4/21
PORKFISH,2020021263weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8835400306,0,1,0,0,0,1,0,0,0,0,6,2,7516.254796,8,7516.254796,1,0,0,0,2020021263weS:8AM-8PM,,0,5/4/21
CHECKERED PUFFER,2020021263weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8861010202,0,2,0,0,0,2,0,0,0,0,6,2,7516.254796,8,7516.254796,2,0,0,0,2020021263weS:8AM-8PM,,0,5/4/21
PORKFISH,2020021263weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.56272E+15,6,1,we,8835400306,0,1,0,0,0,1,0,0,0,0,6,2,7516.254796,8,7516.254796,1,0,0,0,2020021263weS:8AM-8PM,,0,5/4/21
MULLET FAMILY,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.57932E+15,6,1,we,8836010000,0,0,6,0,6,0,0,0,0,0,5,2,26083.44429,8,26083.44429,6,0,0,6,2020021253weS:8AM-8PM,,0,5/4/21
MULLET FAMILY,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.57932E+15,6,1,we,8836010000,0,0,6,0,6,0,0,0,0,0,5,2,26083.44429,8,26083.44429,6,0,0,6,2020021253weS:8AM-8PM,,0,5/4/21
BLUEFISH,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.57932E+15,6,1,we,8835250101,0,1,0,0,0,1,0,0,0,0,5,2,26083.44429,8,26083.44429,1,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
BLUEFISH,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.57932E+15,6,1,we,8835250101,0,1,0,0,0,1,0,0,0,0,5,2,26083.44429,8,26083.44429,1,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.57932E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,2,26083.44429,8,26083.44429,0,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
FLORIDA POMPANO,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.57932E+15,6,1,we,8835280901,0,1,0,0,0,1,0,0,0,0,5,2,26083.44429,8,26083.44429,1,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
BLUEFISH,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.57932E+15,6,1,we,8835250101,1,3,0,1,0,3,305,0.38,0,0,5,2,26083.44429,8,26083.44429,4,0.38,305,1,2020021253weS:8AM-8PM,,0,5/4/21
,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.57932E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,2,12635.57521,8,12635.57521,0,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
REQUIEM SHARK GENUS,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.57932E+15,6,1,we,8708020500,0,1,0,0,0,1,0,0,0,0,5,2,12635.57521,8,12635.57521,1,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
BLUEFISH,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,1,1.57932E+15,6,1,we,8835250101,7,0,0,7,0,0,2315.6,3.164,0,0,5,2,12635.57521,8,12635.57521,7,3.164,2315.6,7,2020021253weS:8AM-8PM,,0,5/4/21
,2020021273wdS:8AM-8PM,2.02011E+21,2020,12,3,1,1.58142E+15,6,1,wd,,0,0,0,0,0,0,0,0,0,0,7,2,204320.9626,8,204320.9626,0,0,0,0,2020021273wdS:8AM-8PM,,0,5/4/21
BLUEFISH,2020011273weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.51562E+15,6,1,we,8835250101,0,1,0,0,0,1,0,0,0,0,7,1,6567.510514,8,6567.510514,1,0,0,0,2020011273weS:8AM-8PM,,0,5/4/21
KINGFISH GENUS,2020011273weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.51562E+15,6,1,we,8835440600,0,1,0,0,0,1,0,0,0,0,7,1,6567.510514,8,6567.510514,1,0,0,0,2020011273weS:8AM-8PM,,0,5/4/21
,2020011273weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.51562E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,1,6567.510514,8,6567.510514,0,0,0,0,2020011273weS:8AM-8PM,,0,5/4/21
SEATROUT GENUS,2020011273weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.51562E+15,6,1,we,8835440100,0,1,0,0,0,1,0,0,0,0,7,1,5672.798637,8,5672.798637,1,0,0,0,2020011273weS:8AM-8PM,,0,5/4/21
KINGFISH GENUS,2020011273weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.51562E+15,6,1,we,8835440600,0,1,0,0,0,1,0,0,0,0,7,1,5672.798637,8,5672.798637,1,0,0,0,2020011273weS:8AM-8PM,,0,5/4/21
,2020011273weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.51562E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,1,5672.798637,8,5672.798637,0,0,0,0,2020011273weS:8AM-8PM,,0,5/4/21
,2020011273weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.51562E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,1,5672.798637,8,5672.798637,0,0,0,0,2020011273weS:8AM-8PM,,0,5/4/21
,2020011273weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.51562E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,1,5146.079863,8,5146.079863,0,0,0,0,2020011273weS:8AM-8PM,,0,5/4/21
,2020011273weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.51562E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,1,5146.079863,8,5146.079863,0,0,0,0,2020011273weS:8AM-8PM,,0,5/4/21
,2020011273weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.51562E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,1,5146.079863,8,5146.079863,0,0,0,0,2020011273weS:8AM-8PM,,0,5/4/21
,2020011273weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.51562E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,1,5146.079863,8,5146.079863,0,0,0,0,2020011273weS:8AM-8PM,,0,5/4/21
BLUEFISH,2020021273weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.51562E+15,6,1,we,8835250101,0,1,0,0,0,1,0,0,0,0,7,2,46640.09024,8,46640.09024,1,0,0,0,2020021273weS:8AM-8PM,,0,5/4/21
GULF KINGFISH,2020021273weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.51562E+15,6,1,we,8835440602,1,0,0,1,0,0,282,0.2,0,0,7,2,46640.09024,8,46640.09024,1,0.2,282,1,2020021273weS:8AM-8PM,,0,5/4/21
STRIPED BURRFISH,2020021273weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.51562E+15,6,1,we,8861030101,0,0,1,0,1,0,0,0,223,0.55,7,2,46640.09024,8,46640.09024,1,0.55,223,1,2020021273weS:8AM-8PM,,0,5/4/21
,2020021273weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.51562E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,2,46640.09024,8,46640.09024,0,0,0,0,2020021273weS:8AM-8PM,,0,5/4/21
,2020021273weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.51562E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,2,46640.09024,8,46640.09024,0,0,0,0,2020021273weS:8AM-8PM,,0,5/4/21
,2020021273weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.51562E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,2,46640.09024,8,46640.09024,0,0,0,0,2020021273weS:8AM-8PM,,0,5/4/21
UNIDENTIFIED FISH,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.53472E+15,6,1,we,1000000000,0,1,0,0,0,1,0,0,0,0,5,1,26980.0409,8,26980.0409,1,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
UNIDENTIFIED FISH,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.53472E+15,6,1,we,1000000000,0,1,0,0,0,1,0,0,0,0,5,1,26980.0409,8,26980.0409,1,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.53472E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,1,26980.0409,8,26980.0409,0,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
STINGRAY GENUS,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.53472E+15,6,1,we,8713050100,0,1,0,0,0,1,0,0,0,0,5,1,4674.443095,8,4674.443095,1,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
HARDHEAD CATFISH,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.53472E+15,6,1,we,8777180202,0,1,0,0,0,1,0,0,0,0,5,1,4674.443095,8,4674.443095,1,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
CREVALLE JACK,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.53472E+15,6,1,we,8835280303,0,4,0,0,0,4,0,0,0,0,5,1,4674.443095,8,4674.443095,4,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
GRAY SNAPPER,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.53472E+15,6,1,we,8835360102,0,8,2,0,2,8,0,0,585,0.82,5,1,4674.443095,8,4674.443095,10,0.82,585,2,2020011253weS:8AM-8PM,,0,5/4/21
BLACK DRUM,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.53472E+15,6,1,we,8835440801,0,1,0,0,0,1,0,0,0,0,5,1,4674.443095,8,4674.443095,1,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
CHECKERED PUFFER,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.53472E+15,6,1,we,8861010202,0,1,0,0,0,1,0,0,0,0,5,1,4674.443095,8,4674.443095,1,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
,2020011253weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.53472E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,1,4674.443095,8,4674.443095,0,0,0,0,2020011253weS:8AM-8PM,,0,5/4/21
PORKFISH,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.54372E+15,6,1,we,8835400306,0,1,0,0,0,1,0,0,0,0,5,2,11550.48242,8,11550.48242,1,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
PORGY FAMILY,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.54372E+15,6,1,we,8835430000,0,2,0,0,0,2,0,0,0,0,5,2,11550.48242,8,11550.48242,2,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
WRASSE FAMILY,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.54372E+15,6,1,we,8839010000,0,3,0,0,0,3,0,0,0,0,5,2,11550.48242,8,11550.48242,3,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.54372E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,2,11550.48242,8,11550.48242,0,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.54372E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,2,11550.48242,8,11550.48242,0,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.54372E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,2,11550.48242,8,11550.48242,0,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
,2020021253weS:8AM-8PM,2.02011E+21,2020,12,3,5,1.54372E+15,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,2,11550.48242,8,11550.48242,0,0,0,0,2020021253weS:8AM-8PM,,0,5/4/21
