common,strat_id,psu_id,YEAR,ST,MODE_FX,AREA_X,ID_CODE,SUB_REG,WAVE,kod,SP_CODE,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,tot_len_a,wgt_a,tot_len_b1,wgt_b1,region,month,wp_int,fl_reg,wp_catch,tot_cat,wgt_ab1,tot_len,landing,var_id,arx_method,alt_flag,date_published
HARDHEAD CATFISH,2020011253weS:8AM-8PM,2020112531534720200124,2020,12,3,1,1534720200124001,6,1,we,8777180202,0,2,0,0,0,2,0,0,0,0,5,01,2115.1642957,8,2115.1642957,2,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
HARDHEAD CATFISH,2020011253weS:8AM-8PM,2020112531534720200124,2020,12,3,1,1534720200124002,6,1,we,8777180202,0,2,0,0,0,2,0,0,0,0,5,01,2115.1642957,8,2115.1642957,2,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
CREVALLE JACK,2020011253weS:8AM-8PM,2020112531534720200124,2020,12,3,1,1534720200124002,6,1,we,8835280303,0,1,0,0,0,1,0,0,0,0,5,01,2115.1642957,8,2115.1642957,1,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
HARDHEAD CATFISH,2020011253weS:8AM-8PM,2020112531534720200124,2020,12,3,1,1534720200124003,6,1,we,8777180202,0,3,0,0,0,3,0,0,0,0,5,01,2115.1642957,8,2115.1642957,3,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
FLORIDA POMPANO,2020011253weS:8AM-8PM,2020112531534720200124,2020,12,3,1,1534720200124003,6,1,we,8835280901,1,1,0,1,0,1,321,0.72,0,0,5,01,2115.1642957,8,2115.1642957,2,0.72,321,1,2020011253weS:8AM-8PM,,0,05/04/2021
,2020011253weS:8AM-8PM,2020112531534720200124,2020,12,3,1,1534720200124004,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,2115.1642957,8,2115.1642957,0,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
,2020011253weS:8AM-8PM,2020112531534720200124,2020,12,3,1,1534720200124005,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,2115.1642957,8,2115.1642957,0,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
,2020011253weS:8AM-8PM,2020112531534720200124,2020,12,3,1,1534720200124006,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,2115.1642957,8,2115.1642957,0,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
CREVALLE JACK,2020011253weS:8AM-8PM,2020112531534720200124,2020,12,3,1,1534720200124007,6,1,we,8835280303,0,1,0,0,0,1,0,0,0,0,5,01,2115.1642957,8,2115.1642957,1,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
,2020021253weS:8AM-8PM,2020112531543720200216,2020,12,3,1,1543720200216007,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,02,11550.482418,8,11550.482418,0,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
CAESAR GRUNT,2020021253weS:8AM-8PM,2020112531543720200216,2020,12,3,1,1543720200216008,6,1,we,8835400106,0,1,0,0,0,1,0,0,0,0,5,02,11550.482418,8,11550.482418,1,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
HAIRY BLENNY,2020021253weS:8AM-8PM,2020112531543720200216,2020,12,3,1,1543720200216008,6,1,we,8842090307,0,1,0,0,0,1,0,0,0,0,5,02,11550.482418,8,11550.482418,1,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
,2020021253weS:8AM-8PM,2020112531543720200216,2020,12,3,1,1543720200216009,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,02,11550.482418,8,11550.482418,0,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
JOLTHEAD PORGY,2020021253weS:8AM-8PM,2020112531562720200208,2020,12,3,1,1562720200208001,6,1,we,8835430502,1,0,0,1,0,0,285,0.5907865314,0,0,5,02,12123.520979,8,12123.520979,1,0.5907865314,285,1,2020021253weS:8AM-8PM,,0,05/04/2021
MOJARRA FAMILY,2020021253weS:8AM-8PM,2020112531562720200208,2020,12,3,1,1562720200208002,6,1,we,8835390000,0,1,0,0,0,1,0,0,0,0,5,02,12123.520979,8,12123.520979,1,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
PORGY FAMILY,2020021253weS:8AM-8PM,2020112531562720200208,2020,12,3,1,1562720200208002,6,1,we,8835430000,0,1,0,0,0,1,0,0,0,0,5,02,12123.520979,8,12123.520979,1,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
PUFFER FAMILY,2020021253weS:8AM-8PM,2020112531562720200208,2020,12,3,1,1562720200208002,6,1,we,8861010000,0,1,0,0,0,1,0,0,0,0,5,02,12123.520979,8,12123.520979,1,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
PUFFER FAMILY,2020021253weS:8AM-8PM,2020112531562720200208,2020,12,3,1,1562720200208003,6,1,we,8861010000,0,1,0,0,0,1,0,0,0,0,5,02,12123.520979,8,12123.520979,1,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
,2020021253weS:8AM-8PM,2020112531562720200208,2020,12,3,1,1562720200208004,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,02,12123.520979,8,12123.520979,0,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
AMBERJACK GENUS,2020021253weS:8AM-8PM,2020112531562720200208,2020,12,3,1,1562720200208005,6,1,we,8835280800,0,1,0,0,0,1,0,0,0,0,5,02,12123.520979,8,12123.520979,1,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
SPANISH MACKEREL,2020021253weS:8AM-8PM,2020112531562720200208,2020,12,3,1,1562720200208005,6,1,we,8850030502,0,2,0,0,0,2,0,0,0,0,5,02,12123.520979,8,12123.520979,2,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
SPANISH MACKEREL,2020021253weS:8AM-8PM,2020112531562720200208,2020,12,3,1,1562720200208006,6,1,we,8850030502,2,0,0,2,0,0,1093,2.68,0,0,5,02,12123.520979,8,12123.520979,2,2.68,1093,2,2020021253weS:8AM-8PM,,0,05/04/2021
,2020021253weS:8AM-8PM,2020112531562720200208,2020,12,3,1,1562720200208007,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,02,12123.520979,8,12123.520979,0,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
,2020021253weS:8AM-8PM,2020112531562720200208,2020,12,3,1,1562720200208008,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,02,12123.520979,8,12123.520979,0,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
,2020021253weS:8AM-8PM,2020112531562720200208,2020,12,3,1,1562720200208009,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,02,17935.960514,8,17935.960514,0,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
,2020021253weS:8AM-8PM,2020112531562720200208,2020,12,3,1,1562720200208010,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,02,17935.960514,8,17935.960514,0,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
BLUE RUNNER,2020021253weS:8AM-8PM,2020112531562720200208,2020,12,3,1,1562720200208011,6,1,we,8835280306,0,1,0,0,0,1,0,0,0,0,5,02,17935.960514,8,17935.960514,1,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
BERMUDA CHUB,2020021253weS:8AM-8PM,2020112531562720200208,2020,12,3,1,1562720200208011,6,1,we,8835510102,0,1,0,0,0,1,0,0,0,0,5,02,17935.960514,8,17935.960514,1,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
PARROTFISH FAMILY,2020021253weS:8AM-8PM,2020112531562720200208,2020,12,3,1,1562720200208012,6,1,we,8839030000,0,1,0,0,0,1,0,0,0,0,5,02,17935.960514,8,17935.960514,1,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
PUFFER FAMILY,2020021253weS:8AM-8PM,2020112531562720200208,2020,12,3,1,1562720200208013,6,1,we,8861010000,0,1,0,0,0,1,0,0,0,0,5,02,17935.960514,8,17935.960514,1,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
,2020021253weS:8AM-8PM,2020112531562720200208,2020,12,3,1,1562720200208014,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,02,17935.960514,8,17935.960514,0,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
HERRING FAMILY,2020021253weS:8AM-8PM,2020112531562720200208,2020,12,3,1,1562720200208015,6,1,we,8747010000,0,0,18,0,18,0,0,0,0,0,5,02,17935.960514,8,17935.960514,18,0,0,18,2020021253weS:8AM-8PM,,0,05/04/2021
SPANISH MACKEREL,2020021253weS:8AM-8PM,2020112531562720200208,2020,12,3,1,1562720200208015,6,1,we,8850030502,0,3,0,0,0,3,0,0,0,0,5,02,17935.960514,8,17935.960514,3,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
HERRING FAMILY,2020021253weS:8AM-8PM,2020112531562720200208,2020,12,3,1,1562720200208016,6,1,we,8747010000,0,0,1,0,1,0,0,0,0,0,5,02,17935.960514,8,17935.960514,1,0,0,1,2020021253weS:8AM-8PM,,0,05/04/2021
REQUIEM SHARK FAMILY,2020021263weS:8AM-8PM,2020112631562720200229,2020,12,3,1,1562720200229001,6,1,we,8708020000,0,1,0,0,0,1,0,0,0,0,6,02,46640.090236,8,46640.090236,1,0,0,0,2020021263weS:8AM-8PM,,0,05/04/2021
BLUEFISH,2020021263weS:8AM-8PM,2020112631562720200229,2020,12,3,1,1562720200229001,6,1,we,8835250101,1,0,0,1,0,0,315,0.36,0,0,6,02,46640.090236,8,46640.090236,1,0.36,315,1,2020021263weS:8AM-8PM,,0,05/04/2021
SPANISH MACKEREL,2020021263weS:8AM-8PM,2020112631562720200229,2020,12,3,1,1562720200229001,6,1,we,8850030502,0,1,0,0,0,1,0,0,0,0,6,02,46640.090236,8,46640.090236,1,0,0,0,2020021263weS:8AM-8PM,,0,05/04/2021
BLUEFISH,2020021263weS:8AM-8PM,2020112631562720200229,2020,12,3,1,1562720200229002,6,1,we,8835250101,0,1,0,0,0,1,0,0,0,0,6,02,46640.090236,8,46640.090236,1,0,0,0,2020021263weS:8AM-8PM,,0,05/04/2021
CREVALLE JACK,2020021263weS:8AM-8PM,2020112631562720200229,2020,12,3,1,1562720200229002,6,1,we,8835280303,0,2,0,0,0,2,0,0,0,0,6,02,46640.090236,8,46640.090236,2,0,0,0,2020021263weS:8AM-8PM,,0,05/04/2021
SPANISH MACKEREL,2020021263weS:8AM-8PM,2020112631562720200229,2020,12,3,1,1562720200229002,6,1,we,8850030502,0,2,0,0,0,2,0,0,0,0,6,02,46640.090236,8,46640.090236,2,0,0,0,2020021263weS:8AM-8PM,,0,05/04/2021
SHEEPSHEAD,2020021263weS:8AM-8PM,2020112631562720200229,2020,12,3,1,1562720200229003,6,1,we,8835430301,1,1,0,1,0,1,335,0.84,0,0,6,02,7516.2547964,8,7516.2547964,2,0.84,335,1,2020021263weS:8AM-8PM,,0,05/04/2021
GROUPER GENUS (EPINEPHELUS),2020021263weS:8AM-8PM,2020112631562720200229,2020,12,3,1,1562720200229006,6,1,we,8835020400,0,5,0,0,0,5,0,0,0,0,6,02,7516.2547964,8,7516.2547964,5,0,0,0,2020021263weS:8AM-8PM,,0,05/04/2021
BLACK MARGATE,2020021263weS:8AM-8PM,2020112631562720200229,2020,12,3,1,1562720200229006,6,1,we,8835400304,1,0,0,1,0,0,270,0.5171697676,0,0,6,02,7516.2547964,8,7516.2547964,1,0.5171697676,270,1,2020021263weS:8AM-8PM,,0,05/04/2021
PORKFISH,2020021263weS:8AM-8PM,2020112631562720200229,2020,12,3,1,1562720200229006,6,1,we,8835400306,0,1,0,0,0,1,0,0,0,0,6,02,7516.2547964,8,7516.2547964,1,0,0,0,2020021263weS:8AM-8PM,,0,05/04/2021
CHECKERED PUFFER,2020021263weS:8AM-8PM,2020112631562720200229,2020,12,3,1,1562720200229006,6,1,we,8861010202,0,2,0,0,0,2,0,0,0,0,6,02,7516.2547964,8,7516.2547964,2,0,0,0,2020021263weS:8AM-8PM,,0,05/04/2021
PORKFISH,2020021263weS:8AM-8PM,2020112631562720200229,2020,12,3,1,1562720200229007,6,1,we,8835400306,0,1,0,0,0,1,0,0,0,0,6,02,7516.2547964,8,7516.2547964,1,0,0,0,2020021263weS:8AM-8PM,,0,05/04/2021
MULLET FAMILY,2020021253weS:8AM-8PM,2020112531579320200223,2020,12,3,1,1579320200223001,6,1,we,8836010000,0,0,6,0,6,0,0,0,0,0,5,02,26083.444286,8,26083.444286,6,0,0,6,2020021253weS:8AM-8PM,,0,05/04/2021
MULLET FAMILY,2020021253weS:8AM-8PM,2020112531579320200223,2020,12,3,1,1579320200223002,6,1,we,8836010000,0,0,6,0,6,0,0,0,0,0,5,02,26083.444286,8,26083.444286,6,0,0,6,2020021253weS:8AM-8PM,,0,05/04/2021
BLUEFISH,2020021253weS:8AM-8PM,2020112531579320200223,2020,12,3,1,1579320200223003,6,1,we,8835250101,0,1,0,0,0,1,0,0,0,0,5,02,26083.444286,8,26083.444286,1,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
BLUEFISH,2020021253weS:8AM-8PM,2020112531579320200223,2020,12,3,1,1579320200223004,6,1,we,8835250101,0,1,0,0,0,1,0,0,0,0,5,02,26083.444286,8,26083.444286,1,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
,2020021253weS:8AM-8PM,2020112531579320200223,2020,12,3,1,1579320200223005,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,02,26083.444286,8,26083.444286,0,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
FLORIDA POMPANO,2020021253weS:8AM-8PM,2020112531579320200223,2020,12,3,1,1579320200223006,6,1,we,8835280901,0,1,0,0,0,1,0,0,0,0,5,02,26083.444286,8,26083.444286,1,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
BLUEFISH,2020021253weS:8AM-8PM,2020112531579320200223,2020,12,3,1,1579320200223007,6,1,we,8835250101,1,3,0,1,0,3,305,0.38,0,0,5,02,26083.444286,8,26083.444286,4,0.38,305,1,2020021253weS:8AM-8PM,,0,05/04/2021
,2020021253weS:8AM-8PM,2020112531579320200223,2020,12,3,1,1579320200223008,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,02,12635.575209,8,12635.575209,0,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
REQUIEM SHARK GENUS,2020021253weS:8AM-8PM,2020112531579320200223,2020,12,3,1,1579320200223009,6,1,we,8708020500,0,1,0,0,0,1,0,0,0,0,5,02,12635.575209,8,12635.575209,1,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
BLUEFISH,2020021253weS:8AM-8PM,2020112531579320200223,2020,12,3,1,1579320200223009,6,1,we,8835250101,7,0,0,7,0,0,2315.6,3.164,0,0,5,02,12635.575209,8,12635.575209,7,3.164,2315.6,7,2020021253weS:8AM-8PM,,0,05/04/2021
,2020021273wdS:8AM-8PM,2020112731581420200224,2020,12,3,1,1581420200224001,6,1,wd,,0,0,0,0,0,0,0,0,0,0,7,02,204320.96264,8,204320.96264,0,0,0,0,2020021273wdS:8AM-8PM,,0,05/04/2021
BLUEFISH,2020011273weS:8AM-8PM,2020112731515620200111,2020,12,3,5,1515620200111001,6,1,we,8835250101,0,1,0,0,0,1,0,0,0,0,7,01,6567.5105138,8,6567.5105138,1,0,0,0,2020011273weS:8AM-8PM,,0,05/04/2021
KINGFISH GENUS,2020011273weS:8AM-8PM,2020112731515620200111,2020,12,3,5,1515620200111001,6,1,we,8835440600,0,1,0,0,0,1,0,0,0,0,7,01,6567.5105138,8,6567.5105138,1,0,0,0,2020011273weS:8AM-8PM,,0,05/04/2021
,2020011273weS:8AM-8PM,2020112731515620200111,2020,12,3,5,1515620200111002,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,01,6567.5105138,8,6567.5105138,0,0,0,0,2020011273weS:8AM-8PM,,0,05/04/2021
SEATROUT GENUS,2020011273weS:8AM-8PM,2020112731515620200111,2020,12,3,5,1515620200111003,6,1,we,8835440100,0,1,0,0,0,1,0,0,0,0,7,01,5672.7986373,8,5672.7986373,1,0,0,0,2020011273weS:8AM-8PM,,0,05/04/2021
KINGFISH GENUS,2020011273weS:8AM-8PM,2020112731515620200111,2020,12,3,5,1515620200111003,6,1,we,8835440600,0,1,0,0,0,1,0,0,0,0,7,01,5672.7986373,8,5672.7986373,1,0,0,0,2020011273weS:8AM-8PM,,0,05/04/2021
,2020011273weS:8AM-8PM,2020112731515620200111,2020,12,3,5,1515620200111004,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,01,5672.7986373,8,5672.7986373,0,0,0,0,2020011273weS:8AM-8PM,,0,05/04/2021
,2020011273weS:8AM-8PM,2020112731515620200111,2020,12,3,5,1515620200111005,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,01,5672.7986373,8,5672.7986373,0,0,0,0,2020011273weS:8AM-8PM,,0,05/04/2021
,2020011273weS:8AM-8PM,2020112731515620200126,2020,12,3,5,1515620200126001,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,01,5146.0798627,8,5146.0798627,0,0,0,0,2020011273weS:8AM-8PM,,0,05/04/2021
,2020011273weS:8AM-8PM,2020112731515620200126,2020,12,3,5,1515620200126002,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,01,5146.0798627,8,5146.0798627,0,0,0,0,2020011273weS:8AM-8PM,,0,05/04/2021
,2020011273weS:8AM-8PM,2020112731515620200126,2020,12,3,5,1515620200126003,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,01,5146.0798627,8,5146.0798627,0,0,0,0,2020011273weS:8AM-8PM,,0,05/04/2021
,2020011273weS:8AM-8PM,2020112731515620200126,2020,12,3,5,1515620200126004,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,01,5146.0798627,8,5146.0798627,0,0,0,0,2020011273weS:8AM-8PM,,0,05/04/2021
BLUEFISH,2020021273weS:8AM-8PM,2020112731515620200201,2020,12,3,5,1515620200201001,6,1,we,8835250101,0,1,0,0,0,1,0,0,0,0,7,02,46640.090236,8,46640.090236,1,0,0,0,2020021273weS:8AM-8PM,,0,05/04/2021
GULF KINGFISH,2020021273weS:8AM-8PM,2020112731515620200201,2020,12,3,5,1515620200201001,6,1,we,8835440602,1,0,0,1,0,0,282,0.2,0,0,7,02,46640.090236,8,46640.090236,1,0.2,282,1,2020021273weS:8AM-8PM,,0,05/04/2021
STRIPED BURRFISH,2020021273weS:8AM-8PM,2020112731515620200201,2020,12,3,5,1515620200201001,6,1,we,8861030101,0,0,1,0,1,0,0,0,223,0.55,7,02,46640.090236,8,46640.090236,1,0.55,223,1,2020021273weS:8AM-8PM,,0,05/04/2021
,2020021273weS:8AM-8PM,2020112731515620200201,2020,12,3,5,1515620200201002,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,02,46640.090236,8,46640.090236,0,0,0,0,2020021273weS:8AM-8PM,,0,05/04/2021
,2020021273weS:8AM-8PM,2020112731515620200201,2020,12,3,5,1515620200201003,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,02,46640.090236,8,46640.090236,0,0,0,0,2020021273weS:8AM-8PM,,0,05/04/2021
,2020021273weS:8AM-8PM,2020112731515620200222,2020,12,3,5,1515620200222001,6,1,we,,0,0,0,0,0,0,0,0,0,0,7,02,46640.090236,8,46640.090236,0,0,0,0,2020021273weS:8AM-8PM,,0,05/04/2021
UNIDENTIFIED FISH,2020011253weS:8AM-8PM,2020112531534720200103,2020,12,3,5,1534720200103004,6,1,we,1000000000,0,1,0,0,0,1,0,0,0,0,5,01,26980.040901,8,26980.040901,1,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
UNIDENTIFIED FISH,2020011253weS:8AM-8PM,2020112531534720200103,2020,12,3,5,1534720200103005,6,1,we,1000000000,0,1,0,0,0,1,0,0,0,0,5,01,26980.040901,8,26980.040901,1,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
,2020011253weS:8AM-8PM,2020112531534720200103,2020,12,3,5,1534720200103006,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,26980.040901,8,26980.040901,0,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
STINGRAY GENUS,2020011253weS:8AM-8PM,2020112531534720200112,2020,12,3,5,1534720200112001,6,1,we,8713050100,0,1,0,0,0,1,0,0,0,0,5,01,4674.443095,8,4674.443095,1,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
HARDHEAD CATFISH,2020011253weS:8AM-8PM,2020112531534720200112,2020,12,3,5,1534720200112001,6,1,we,8777180202,0,1,0,0,0,1,0,0,0,0,5,01,4674.443095,8,4674.443095,1,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
CREVALLE JACK,2020011253weS:8AM-8PM,2020112531534720200112,2020,12,3,5,1534720200112001,6,1,we,8835280303,0,4,0,0,0,4,0,0,0,0,5,01,4674.443095,8,4674.443095,4,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
GRAY SNAPPER,2020011253weS:8AM-8PM,2020112531534720200112,2020,12,3,5,1534720200112001,6,1,we,8835360102,0,8,2,0,2,8,0,0,585,0.82,5,01,4674.443095,8,4674.443095,10,0.82,585,2,2020011253weS:8AM-8PM,,0,05/04/2021
BLACK DRUM,2020011253weS:8AM-8PM,2020112531534720200112,2020,12,3,5,1534720200112001,6,1,we,8835440801,0,1,0,0,0,1,0,0,0,0,5,01,4674.443095,8,4674.443095,1,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
CHECKERED PUFFER,2020011253weS:8AM-8PM,2020112531534720200112,2020,12,3,5,1534720200112002,6,1,we,8861010202,0,1,0,0,0,1,0,0,0,0,5,01,4674.443095,8,4674.443095,1,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
,2020011253weS:8AM-8PM,2020112531534720200112,2020,12,3,5,1534720200112003,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,4674.443095,8,4674.443095,0,0,0,0,2020011253weS:8AM-8PM,,0,05/04/2021
PORKFISH,2020021253weS:8AM-8PM,2020112531543720200216,2020,12,3,5,1543720200216001,6,1,we,8835400306,0,1,0,0,0,1,0,0,0,0,5,02,11550.482418,8,11550.482418,1,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
PORGY FAMILY,2020021253weS:8AM-8PM,2020112531543720200216,2020,12,3,5,1543720200216001,6,1,we,8835430000,0,2,0,0,0,2,0,0,0,0,5,02,11550.482418,8,11550.482418,2,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
WRASSE FAMILY,2020021253weS:8AM-8PM,2020112531543720200216,2020,12,3,5,1543720200216001,6,1,we,8839010000,0,3,0,0,0,3,0,0,0,0,5,02,11550.482418,8,11550.482418,3,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
,2020021253weS:8AM-8PM,2020112531543720200216,2020,12,3,5,1543720200216002,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,02,11550.482418,8,11550.482418,0,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
,2020021253weS:8AM-8PM,2020112531543720200216,2020,12,3,5,1543720200216003,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,02,11550.482418,8,11550.482418,0,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
,2020021253weS:8AM-8PM,2020112531543720200216,2020,12,3,5,1543720200216004,6,1,we,,0,0,0,0,0,0,0,0,0,0,5,02,11550.482418,8,11550.482418,0,0,0,0,2020021253weS:8AM-8PM,,0,05/04/2021
