prim2_common,prim1_common,strat_id,psu_id,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,BOAT_HRS,NUM_TYP9,telefon,COASTAL,kod,ASG_CODE,MODE_ASG,new_list,PRT_CODE,CELLTYPE,region,strat_interval,month,fshinsp_a,num_fish_a,COUNTY,TIME,tsn1,tsn2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,GENDER,AGE,REEF,date1,DIST,prim1,prim2,MODE2001,TURTLE,REEFCODE,AREA_NC,ART_REEF,muni_res,muni_trp,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,ZIP,date_published
,,2020011253weS:8AM-8PM,2020112531534720200124,2020,0,39,99,12,99,1448,1,3,1,1,3,,10,1,1,0,0,0,0,,,1534720200124006,6,1,2,,,,,O,we,1534720200124,1,,1534720200124006,,5,S:8AM-8PM,01,,,,1619,,,1,1,,8,2,8,2,66,2,20FEB202011:30,1,,,,,,,,,,2115.1642957,2020011253weS:8AM-8PM,,0,1534720200124006,99998,05/04/2021
,,2020011253weS:8AM-8PM,2020112531534720200124,2020,0,39,99,12,99,1448,1,3,1,1,3,0.00,20,1,1,1,0,0,0,,,1534720200124007,6,1,2,,,,,O,we,1534720200124,1,,1534720200124007,1,5,S:8AM-8PM,01,,,,1620,,,1,1,,8,1,8,1,71,2,20FEB202011:30,1,,,,,,,,,,2115.1642957,2020011253weS:8AM-8PM,,0,1534720200124007,44471,05/04/2021
,,2020021253weS:8AM-8PM,2020112531543720200216,2020,6,12,99,12,99,3660,2,3,1,1,2,,24,2,1,0,0,0,0,,,1543720200216007,6,1,2,,,,,Y,we,1543720200216,1,,1543720200216007,,5,S:8AM-8PM,02,,,PALM BEACH,1311,,,1,1,,8,1,8,1,47,2,16MAR202011:01,1,,,,,,,,,,11550.482418,2020021253weS:8AM-8PM,,0,1543720200216007,33417,05/04/2021
,,2020021253weS:8AM-8PM,2020112531543720200216,2020,6,12,99,12,99,3660,2,3,1,1,2,0.00,24,2,1,2,0,0,0,,,1543720200216008,6,1,2,,,,,Y,we,1543720200216,1,,1543720200216008,1,5,S:8AM-8PM,02,,,PALM BEACH,1312,,,1,1,,8,2,8,1,6,2,16MAR202011:01,1,,,,,,,,,,11550.482418,2020021253weS:8AM-8PM,,0,1543720200216008,33417,05/04/2021
,,2020021253weS:8AM-8PM,2020112531543720200216,2020,6,12,99,12,99,3660,2,3,1,1,2,,27,2,1,0,0,0,0,,,1543720200216009,6,1,2,,,,,Y,we,1543720200216,1,,1543720200216009,,5,S:8AM-8PM,02,,,PALM BEACH,1313,,,1,1,,8,2,8,1,58,2,16MAR202011:01,1,,,,,,,,,,11550.482418,2020021253weS:8AM-8PM,,0,1543720200216009,33462,05/04/2021
CREVALLE JACK,BLUEFISH,2020021253weS:8AM-8PM,2020112531562720200208,2020,6,12,11,12,11,108,1,3,1,1,5.5,0.00,20,5,1,0,1,0,0,,,1562720200208001,6,1,1,,,,,Y,we,1562720200208,1,,1562720200208001,1,5,S:8AM-8PM,02,1,0,BROWARD,1154,168559,168609,1,1,,8,1,1,1,26,2,16MAR202011:01,1,8835250101,8835280303,,,,,,,,12123.520979,2020021253weS:8AM-8PM,,0,1562720200208001,33024,05/04/2021
GRAY SNAPPER,MUTTON SNAPPER,2020021253weS:8AM-8PM,2020112531562720200208,2020,6,12,86,12,11,108,1,3,1,1,2,0.00,56,7,1,3,0,0,0,,,1562720200208002,6,1,2,,,,,Y,we,1562720200208,1,,1562720200208002,1,5,S:8AM-8PM,02,,,MIAMI-DADE,1203,168849,168848,1,1,,8,1,8,1,31,2,16MAR202011:01,1,8835360103,8835360102,,,,,,,,12123.520979,2020021253weS:8AM-8PM,,0,1562720200208002,33161,05/04/2021
GRAY SNAPPER,MUTTON SNAPPER,2020021253weS:8AM-8PM,2020112531562720200208,2020,0,20,209,12,11,108,1,3,1,1,2,0.00,0,0,1,1,0,0,0,,,1562720200208003,6,1,2,,,,,O,we,1562720200208,1,,1562720200208003,1,5,S:8AM-8PM,02,,,,1204,168849,168848,1,1,,8,2,8,1,15,2,16MAR202011:01,1,8835360103,8835360102,,,,,,,,12123.520979,2020021253weS:8AM-8PM,,0,1562720200208003,99998,05/04/2021
,,2020021253weS:8AM-8PM,2020112531562720200208,2020,6,12,11,12,11,108,1,3,1,1,1,,150,20,1,0,0,0,0,,,1562720200208004,6,1,2,,,,,Y,we,1562720200208,1,,1562720200208004,,5,S:8AM-8PM,02,,,BROWARD,1245,,,1,1,,8,2,8,1,37,2,16MAR202011:01,1,,,,,,,,,,12123.520979,2020021253weS:8AM-8PM,,0,1562720200208004,33351,05/04/2021
,SPANISH MACKEREL,2020021253weS:8AM-8PM,2020112531562720200208,2020,6,12,11,12,11,108,1,3,1,1,5.5,0.00,100,14,1,2,0,0,0,,,1562720200208005,6,1,2,,,,,Y,we,1562720200208,1,,1562720200208005,1,5,S:8AM-8PM,02,,,BROWARD,1255,172436,,1,1,,8,1,8,1,87,2,16MAR202011:01,1,8850030502,,,,,,,,,12123.520979,2020021253weS:8AM-8PM,,0,1562720200208005,33026,05/04/2021
,,2020021253weS:8AM-8PM,2020112531562720200208,2020,6,12,11,12,11,108,1,3,1,1,5,0.00,25,0,1,0,2,0,0,,,1562720200208006,6,1,1,,,,,Y,we,1562720200208,1,,1562720200208006,1,5,S:8AM-8PM,02,2,0,BROWARD,1300,,,1,1,,8,2,1,1,53,2,16MAR202011:01,1,,,,,,,,,,12123.520979,2020021253weS:8AM-8PM,,0,1562720200208006,99998,05/04/2021
BLUEFISH,FLORIDA POMPANO,2020021253weS:8AM-8PM,2020112531562720200208,2020,6,12,86,12,11,108,1,3,1,1,5,,30,0,1,0,0,0,0,,,1562720200208007,6,1,2,,,,,Y,we,1562720200208,1,,1562720200208007,,5,S:8AM-8PM,02,,,MIAMI-DADE,1325,168708,168559,1,1,,8,1,8,1,68,2,16MAR202011:01,1,8835280901,8835250101,,,,,,,,12123.520979,2020021253weS:8AM-8PM,,0,1562720200208007,33150,05/04/2021
BLUEFISH,FLORIDA POMPANO,2020021253weS:8AM-8PM,2020112531562720200208,2020,6,12,86,12,11,108,1,3,1,1,5,,30,0,1,0,0,0,0,,,1562720200208008,6,1,2,,,,,Y,we,1562720200208,1,,1562720200208008,,5,S:8AM-8PM,02,,,MIAMI-DADE,1326,168708,168559,1,1,,8,2,8,2,999,2,16MAR202011:01,1,8835280901,8835250101,,,,,,,,12123.520979,2020021253weS:8AM-8PM,,0,1562720200208008,33150,05/04/2021
,,2020021253weS:8AM-8PM,2020112531562720200208,2020,6,12,11,12,11,108,1,3,1,1,1,,1,0,1,0,0,0,0,,,1562720200208009,6,1,2,,,,,Y,we,1562720200208,1,,1562720200208009,,5,S:8AM-8PM,02,,,BROWARD,1416,,,1,1,,8,2,8,1,45,2,16MAR202011:01,1,,,,,,,,,,17935.960514,2020021253weS:8AM-8PM,,0,1562720200208009,33028,05/04/2021
,,2020021253weS:8AM-8PM,2020112531562720200208,2020,6,12,11,12,11,108,1,3,1,1,1,,1,0,1,0,0,0,0,,,1562720200208010,6,1,2,,,,,Y,we,1562720200208,1,,1562720200208010,,5,S:8AM-8PM,02,,,BROWARD,1417,,,1,1,,8,2,8,1,7,2,16MAR202011:01,1,,,,,,,,,,17935.960514,2020021253weS:8AM-8PM,,0,1562720200208010,33028,05/04/2021
,,2020021253weS:8AM-8PM,2020112531562720200208,2020,7,12,1,12,11,108,1,3,1,1,2.5,0.00,0,0,1,2,0,0,0,,,1562720200208011,6,1,2,,,,,O,we,1562720200208,1,,1562720200208011,1,5,S:8AM-8PM,02,,,ALACHUA,1448,,,1,1,,8,2,8,1,82,2,16MAR202011:01,1,,,,,,,,,,17935.960514,2020021253weS:8AM-8PM,,0,1562720200208011,32615,05/04/2021
,,2020021253weS:8AM-8PM,2020112531562720200208,2020,7,12,1,12,11,108,1,3,1,1,2.5,0.00,0,0,1,1,0,0,0,,,1562720200208012,6,1,2,,,,,O,we,1562720200208,1,,1562720200208012,1,5,S:8AM-8PM,02,,,ALACHUA,1449,,,1,1,,8,2,8,1,9,2,16MAR202011:01,1,,,,,,,,,,17935.960514,2020021253weS:8AM-8PM,,0,1562720200208012,32615,05/04/2021
,SNAPPER FAMILY,2020021253weS:8AM-8PM,2020112531562720200208,2020,6,12,11,12,11,108,1,3,1,1,3,0.00,11,1,1,1,0,0,0,,,1562720200208013,6,1,2,,,,,Y,we,1562720200208,1,,1562720200208013,1,5,S:8AM-8PM,02,,,BROWARD,1520,168845,,1,1,,8,1,8,2,51,2,16MAR202011:01,1,8835360000,,,,,,,,,17935.960514,2020021253weS:8AM-8PM,,0,1562720200208013,33020,05/04/2021
,SNAPPER FAMILY,2020021253weS:8AM-8PM,2020112531562720200208,2020,6,12,11,12,11,108,1,3,1,1,3,,11,1,1,0,0,0,0,,,1562720200208014,6,1,2,,,,,Y,we,1562720200208,1,,1562720200208014,,5,S:8AM-8PM,02,,,BROWARD,1521,168845,,1,1,,8,2,8,2,50,2,16MAR202011:01,1,8835360000,,,,,,,,,17935.960514,2020021253weS:8AM-8PM,,0,1562720200208014,33020,05/04/2021
SPANISH MACKEREL,SNAPPER FAMILY,2020021253weS:8AM-8PM,2020112531562720200208,2020,6,12,11,12,11,108,1,3,1,1,7,0.00,200,25,1,2,0,0,0,,,1562720200208015,6,1,2,,,,,Y,we,1562720200208,1,,1562720200208015,1,5,S:8AM-8PM,02,0,18,BROWARD,1530,168845,172436,1,1,,8,2,8,1,59,2,16MAR202011:01,1,8835360000,8850030502,,,,,,,,17935.960514,2020021253weS:8AM-8PM,,0,1562720200208015,33351,05/04/2021
CERO,SPANISH MACKEREL,2020021253weS:8AM-8PM,2020112531562720200208,2020,6,12,11,12,11,108,1,3,1,1,3,0.00,50,5,1,1,0,0,0,,,1562720200208016,6,1,2,,,,,Y,we,1562720200208,1,,1562720200208016,1,5,S:8AM-8PM,02,0,1,BROWARD,1548,172436,172437,1,1,,8,2,8,1,24,2,16MAR202011:01,1,8850030502,8850030503,,,,,,,,17935.960514,2020021253weS:8AM-8PM,,0,1562720200208016,33024,05/04/2021
LEFTEYE FLOUNDER GENUS,COMMON SNOOK,2020021263weS:8AM-8PM,2020112631562720200229,2020,6,12,111,12,111,929,2,3,1,1,2,0.00,112,14,1,2,1,0,0,,,1562720200229001,6,1,1,,,,,Y,we,1562720200229,1,,1562720200229001,1,6,S:8AM-8PM,02,1,0,ST LUCIE,916,167648,172734,1,1,,8,2,1,1,58,2,16MAR202011:01,1,8835010105,8857030300,,,,,,,,46640.090236,2020021263weS:8AM-8PM,,0,1562720200229001,99998,05/04/2021
RED DRUM,MUTTON SNAPPER,2020021263weS:8AM-8PM,2020112631562720200229,2020,6,12,111,12,111,929,2,3,1,1,3,0.00,36,36,1,3,0,0,0,,,1562720200229002,6,1,2,,,,,Y,we,1562720200229,1,,1562720200229002,1,6,S:8AM-8PM,02,,,ST LUCIE,1008,168849,169290,1,1,,8,1,8,1,56,2,16MAR202011:01,1,8835360103,8835440901,,,,,,,,46640.090236,2020021263weS:8AM-8PM,,0,1562720200229002,34951,05/04/2021
,RED DRUM,2020021263weS:8AM-8PM,2020112631562720200229,2020,6,12,85,12,111,929,2,3,1,1,4.5,0.00,104,14,1,1,1,0,0,,,1562720200229003,6,1,1,,,,,Y,we,1562720200229,1,,1562720200229003,1,6,S:8AM-8PM,02,1,0,MARTIN,1209,169290,,1,1,,8,2,1,1,59,2,16MAR202011:01,1,8835440901,,,,,,,,,7516.2547964,2020021263weS:8AM-8PM,,0,1562720200229003,34997,05/04/2021
,BLACK MARGATE,2020021263weS:8AM-8PM,2020112631562720200229,2020,6,12,111,12,111,929,2,3,1,1,2,0.00,30,10,1,3,1,0,0,,,1562720200229006,6,1,1,,,,,Y,we,1562720200229,1,,1562720200229006,1,6,S:8AM-8PM,02,1,0,ST LUCIE,1311,169084,,1,1,,8,2,1,1,42,2,16MAR202011:01,1,8835400304,,,,,,,,,7516.2547964,2020021263weS:8AM-8PM,,0,1562720200229006,34952,05/04/2021
,,2020021263weS:8AM-8PM,2020112631562720200229,2020,6,12,111,12,111,929,2,3,1,1,2,0.00,25,7,1,1,0,0,0,,,1562720200229007,6,1,2,,,,,Y,we,1562720200229,1,,1562720200229007,1,6,S:8AM-8PM,02,,,ST LUCIE,1312,,,1,1,,8,2,8,1,51,2,16MAR202011:01,1,,,,,,,,,,7516.2547964,2020021263weS:8AM-8PM,,0,1562720200229007,34952,05/04/2021
,COMMON SNOOK,2020021253weS:8AM-8PM,2020112531579320200223,2020,6,12,11,12,11,106,1,3,1,1,5,0.00,30,5,1,1,0,0,0,,,1579320200223001,6,1,2,,,,,Y,we,1579320200223,1,,1579320200223001,1,5,S:8AM-8PM,02,0,6,BROWARD,810,167648,,1,1,,8,2,8,1,36,2,16MAR202011:01,1,8835010105,,,,,,,,,26083.444286,2020021253weS:8AM-8PM,,0,1579320200223001,33068,05/04/2021
,COMMON SNOOK,2020021253weS:8AM-8PM,2020112531579320200223,2020,6,12,11,12,11,106,1,3,1,1,5,0.00,30,5,1,1,0,0,0,,,1579320200223002,6,1,2,,,,,Y,we,1579320200223,1,,1579320200223002,1,5,S:8AM-8PM,02,0,6,BROWARD,811,167648,,1,1,,8,2,8,1,10,2,16MAR202011:01,1,8835010105,,,,,,,,,26083.444286,2020021253weS:8AM-8PM,,0,1579320200223002,33068,05/04/2021
,BLUEFISH,2020021253weS:8AM-8PM,2020112531579320200223,2020,6,12,11,12,11,106,1,3,1,1,3,0.00,50,4,1,1,0,0,0,,,1579320200223003,6,1,2,,,,,Y,we,1579320200223,1,,1579320200223003,1,5,S:8AM-8PM,02,,,BROWARD,1006,168559,,1,1,,8,2,8,1,49,2,16MAR202011:01,1,8835250101,,,,,,,,,26083.444286,2020021253weS:8AM-8PM,,0,1579320200223003,33305,05/04/2021
,BLUEFISH,2020021253weS:8AM-8PM,2020112531579320200223,2020,6,12,11,12,11,106,1,3,1,1,3,0.00,40,4,1,1,0,0,0,,,1579320200223004,6,1,2,,,,,Y,we,1579320200223,1,,1579320200223004,1,5,S:8AM-8PM,02,,,BROWARD,1007,168559,,1,1,,8,2,8,1,12,2,16MAR202011:01,1,8835250101,,,,,,,,,26083.444286,2020021253weS:8AM-8PM,,0,1579320200223004,33305,05/04/2021
,,2020021253weS:8AM-8PM,2020112531579320200223,2020,6,12,11,12,11,106,1,3,1,1,6,,50,7,1,0,0,0,0,,,1579320200223005,6,1,2,,,,,Y,we,1579320200223,1,,1579320200223005,,5,S:8AM-8PM,02,,,BROWARD,1010,,,1,1,,8,2,8,1,60,2,16MAR202011:01,1,,,,,,,,,,26083.444286,2020021253weS:8AM-8PM,,0,1579320200223005,33064,05/04/2021
,,2020021253weS:8AM-8PM,2020112531579320200223,2020,5,42,129,12,11,106,1,3,1,1,4.5,0.00,0,0,1,1,0,0,0,,,1579320200223006,6,1,2,,,,,O,we,1579320200223,1,,1579320200223006,1,5,S:8AM-8PM,02,,,,1037,,,1,1,,8,2,8,1,54,2,16MAR202011:01,1,,,,,,,,,,26083.444286,2020021253weS:8AM-8PM,,0,1579320200223006,15642,05/04/2021
,,2020021253weS:8AM-8PM,2020112531579320200223,2020,6,12,11,12,11,106,1,3,1,1,4,0.00,30,6,1,1,1,0,0,,,1579320200223007,6,1,1,,,,,Y,we,1579320200223,1,,1579320200223007,1,5,S:8AM-8PM,02,1,0,BROWARD,1056,,,1,1,,8,2,1,1,35,2,16MAR202011:01,1,,,,,,,,,,26083.444286,2020021253weS:8AM-8PM,,0,1579320200223007,33339,05/04/2021
,,2020021253weS:8AM-8PM,2020112531579320200223,2020,6,12,11,12,11,106,1,3,1,1,1,,0,0,1,0,0,0,0,,,1579320200223008,6,1,2,,,,,Y,we,1579320200223,1,,1579320200223008,,5,S:8AM-8PM,02,,,BROWARD,1102,,,1,1,,8,2,8,1,14,2,16MAR202011:01,1,,,,,,,,,,12635.575209,2020021253weS:8AM-8PM,,0,1579320200223008,99998,05/04/2021
,,2020021253weS:8AM-8PM,2020112531579320200223,2020,6,12,11,12,11,106,1,3,1,1,7,0.00,70,20,1,1,1,0,0,,,1579320200223009,6,1,1,,,,,Y,we,1579320200223,1,,1579320200223009,1,5,S:8AM-8PM,02,7,0,BROWARD,1307,,,1,1,,8,2,1,1,41,2,16MAR202011:01,1,,,,,,,,,,12635.575209,2020021253weS:8AM-8PM,,0,1579320200223009,33305,05/04/2021
,,2020021273wdS:8AM-8PM,2020112731581420200224,2020,5,51,15,12,127,221,5,3,1,1,2,0.00,24,12,1,0,0,0,0,,,1581420200224001,6,1,2,,,,,O,wd,1581420200224,1,,1581420200224001,,7,S:8AM-8PM,02,,,,1648,,,1,1,,8,1,8,1,74,2,16MAR202011:01,1,,,,,,,,,,204320.96264,2020021273wdS:8AM-8PM,,0,1581420200224001,99998,05/04/2021
,KINGFISH GENUS,2020011273weS:8AM-8PM,2020112731515620200111,2020,6,12,31,12,31,1416,5,3,3,5,2.5,0.00,3,0,1,2,0,0,0,,,1515620200111001,6,1,2,,,,,Y,we,1515620200111,1,,1515620200111001,2,7,S:8AM-8PM,01,,,DUVAL,1243,169273,,8,1,,8,1,8,1,43,2,20FEB202011:30,8,8835440600,,,,,,,,,6567.5105138,2020011273weS:8AM-8PM,,0,1515620200111001,32218,05/04/2021
,KINGFISH GENUS,2020011273weS:8AM-8PM,2020112731515620200111,2020,6,12,31,12,31,1416,5,3,3,5,2.5,0.00,3,0,1,0,0,0,0,,,1515620200111002,6,1,2,,,,,Y,we,1515620200111,1,,1515620200111002,,7,S:8AM-8PM,01,,,DUVAL,1244,169273,,8,1,,8,2,8,1,7,2,20FEB202011:30,8,8835440600,,,,,,,,,6567.5105138,2020011273weS:8AM-8PM,,0,1515620200111002,32218,05/04/2021
,,2020011273weS:8AM-8PM,2020112731515620200111,2020,6,12,31,12,31,1416,5,3,3,5,2,0.00,10,1,1,2,0,0,0,,,1515620200111003,6,1,2,,,,,Y,we,1515620200111,1,,1515620200111003,2,7,S:8AM-8PM,01,,,DUVAL,1439,,,8,1,,8,1,8,1,28,2,20FEB202011:30,8,,,,,,,,,,5672.7986373,2020011273weS:8AM-8PM,,0,1515620200111003,32226,05/04/2021
,,2020011273weS:8AM-8PM,2020112731515620200111,2020,6,12,31,12,31,1416,5,3,3,5,4,0.00,35,5,1,0,0,0,0,,,1515620200111004,6,1,2,,,,,Y,we,1515620200111,1,,1515620200111004,,7,S:8AM-8PM,01,,,DUVAL,1619,,,8,1,,8,1,8,1,32,2,20FEB202011:30,8,,,,,,,,,,5672.7986373,2020011273weS:8AM-8PM,,0,1515620200111004,32226,05/04/2021
,,2020011273weS:8AM-8PM,2020112731515620200111,2020,6,12,31,12,31,1416,5,3,3,5,4,0.00,5,2,1,0,0,0,0,,,1515620200111005,6,1,2,,,,,Y,we,1515620200111,1,,1515620200111005,,7,S:8AM-8PM,01,,,DUVAL,1620,,,8,1,,8,2,8,1,45,2,20FEB202011:30,8,,,,,,,,,,5672.7986373,2020011273weS:8AM-8PM,,0,1515620200111005,32226,05/04/2021
,,2020011273weS:8AM-8PM,2020112731515620200126,2020,6,12,31,12,31,1416,5,3,3,5,1,0.00,3,0,1,0,0,0,0,,,1515620200126001,6,1,2,,,,,Y,we,1515620200126,1,,1515620200126001,,7,S:8AM-8PM,01,,,DUVAL,1217,,,8,1,,8,1,8,1,49,2,20FEB202011:30,8,,,,,,,,,,5146.0798627,2020011273weS:8AM-8PM,,0,1515620200126001,32208,05/04/2021
,,2020011273weS:8AM-8PM,2020112731515620200126,2020,6,12,31,12,31,1416,5,3,3,5,6,0.00,5,0,1,0,0,0,0,,,1515620200126002,6,1,2,,,,,Y,we,1515620200126,1,,1515620200126002,,7,S:8AM-8PM,01,,,DUVAL,1221,,,8,1,,8,1,8,1,53,2,20FEB202011:30,8,,,,,,,,,,5146.0798627,2020011273weS:8AM-8PM,,0,1515620200126002,32216,05/04/2021
,,2020011273weS:8AM-8PM,2020112731515620200126,2020,6,12,31,12,31,1416,5,3,3,5,6,0.00,5,0,1,0,0,0,0,,,1515620200126003,6,1,2,,,,,Y,we,1515620200126,1,,1515620200126003,,7,S:8AM-8PM,01,,,DUVAL,1222,,,8,1,,8,1,8,1,34,2,20FEB202011:30,8,,,,,,,,,,5146.0798627,2020011273weS:8AM-8PM,,0,1515620200126003,32216,05/04/2021
,,2020011273weS:8AM-8PM,2020112731515620200126,2020,6,12,31,12,31,1416,5,3,3,5,6,0.00,5,0,1,0,0,0,0,,,1515620200126004,6,1,2,,,,,Y,we,1515620200126,1,,1515620200126004,,7,S:8AM-8PM,01,,,DUVAL,1223,,,8,1,,8,1,8,1,99,2,20FEB202011:30,8,,,,,,,,,,5146.0798627,2020011273weS:8AM-8PM,,0,1515620200126004,32216,05/04/2021
,,2020021273weS:8AM-8PM,2020112731515620200201,2020,6,12,31,12,31,1416,5,3,3,5,1,0.00,3,3,1,2,1,0,0,,,1515620200201001,6,1,1,,,,,Y,we,1515620200201,1,,1515620200201001,2,7,S:8AM-8PM,02,1,1,DUVAL,1414,,,8,1,,8,1,1,1,67,2,16MAR202011:01,8,,,,,,,,,,46640.090236,2020021273weS:8AM-8PM,,0,1515620200201001,32209,05/04/2021
,,2020021273weS:8AM-8PM,2020112731515620200201,2020,7,12,23,12,31,1416,5,3,3,5,2,2.00,30,0,1,0,0,0,0,,,1515620200201002,6,1,2,,,,,O,we,1515620200201,1,,1515620200201002,,7,S:8AM-8PM,02,,,COLUMBIA,1420,,,8,1,,8,1,8,1,38,2,16MAR202011:01,8,,,,,,,,,,46640.090236,2020021273weS:8AM-8PM,,0,1515620200201002,32024,05/04/2021
