Date file created,Month of intercept,Time of intercept,Data sampling period,Sub region of trip,Kind of day,Fish target species,Mode of fishing,Collapsed area of fishing,Distance from shore,Hours on boat,Hours fished,Catch fish,Number of fish avail for inspection
2020-03-16,1,1542,1,6,we,SPOTTED SEATROUT,8,5,8,5.0,4.5,1,1
2020-03-16,1,1639,1,6,wd,STRIPED BASS,8,5,8,8.0,6.0,1,6
2020-03-16,2,1134,1,6,wd,SPOTTED SEATROUT,8,5,8,5.0,4.0,1,1
2020-03-16,2,1537,1,6,wd,SPOTTED SEATROUT,8,5,8,6.0,5.0,1,3
2020-03-16,1,1338,1,6,wd,SPOTTED SEATROUT,8,5,8,6.0,5.0,1,8
2020-03-16,1,1204,1,6,wd,SPOTTED SEATROUT,8,5,8,2.5,2.0,1,1
2020-03-16,1,1525,1,6,wd,SPOTTED SEATROUT,8,5,8,6.0,6.0,1,3
2020-03-16,1,1600,1,6,wd,SPOTTED SEATROUT,8,5,8,6.5,5.0,1,4
2020-03-16,1,1425,1,6,wd,SPOTTED SEATROUT,8,5,8,7.0,5.0,1,4
2020-03-16,1,1125,1,6,wd,SPOTTED SEATROUT,8,5,8,4.5,3.0,1,2
2020-03-16,1,1137,1,6,wd,SPOTTED SEATROUT,8,5,8,4.5,4.0,1,4
2020-03-16,1,1236,1,6,wd,SPOTTED SEATROUT,8,5,8,5.5,4.0,1,5
2020-03-16,1,1427,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,2.0,1,1
2020-03-16,1,1431,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,2.0,1,1
2020-03-16,1,1112,1,6,we,SPOTTED SEATROUT,8,5,8,5.0,4.0,1,8
2020-03-16,1,1157,1,6,we,SPOTTED SEATROUT,8,5,8,3.0,2.5,1,4
2020-03-16,1,1121,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,3.0,1,3
2020-03-16,1,1208,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,3.5,1,3
2020-03-16,1,1235,1,6,we,SPOTTED SEATROUT,8,5,8,6.0,5.0,1,7
2020-03-16,1,1700,1,6,we,SPOTTED SEATROUT,8,5,8,11.0,10.0,1,6
2020-03-16,1,1240,1,6,wd,SPOTTED SEATROUT,8,5,8,3.0,3.0,1,3
2020-03-16,1,1249,1,6,wd,SPOTTED SEATROUT,8,5,8,4.0,4.0,1,4
2020-03-16,1,1321,1,6,wd,SPOTTED SEATROUT,8,5,8,6.0,6.0,1,3
2020-03-16,1,1324,1,6,wd,SPOTTED SEATROUT,8,5,8,6.0,6.0,1,1
2020-03-16,1,1501,1,6,wd,SPOTTED SEATROUT,8,5,8,3.0,2.5,1,1
2020-03-16,1,1443,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,3.5,1,5
2020-03-16,1,1443,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,3.5,1,1
2020-03-16,1,1645,1,6,we,SPOTTED SEATROUT,8,5,8,2.5,2.5,1,8
2020-03-16,1,1240,1,6,we,SPOTTED SEATROUT,8,5,8,5.0,4.5,1,1
2020-03-16,1,1205,1,6,we,SPOTTED SEATROUT,8,5,8,6.0,4.5,1,8
2020-03-16,1,1303,1,6,we,SPOTTED SEATROUT,8,5,8,5.0,5.0,2,0
2020-03-16,1,1303,1,6,we,SPOTTED SEATROUT,8,5,8,5.0,5.0,2,0
2020-03-16,1,1340,1,6,we,SPOTTED SEATROUT,8,5,8,6.0,5.0,1,7
2020-03-16,1,1210,1,6,wd,SPOTTED SEATROUT,8,5,8,5.0,5.0,1,6
2020-03-16,1,1239,1,6,wd,SPOTTED SEATROUT,8,5,8,5.0,4.0,1,4
2020-03-16,1,1613,1,6,wd,SPOTTED SEATROUT,8,5,8,8.0,5.0,1,1
2020-03-16,1,1614,1,6,wd,SPOTTED SEATROUT,8,5,8,8.0,5.0,1,1
2020-03-16,2,1145,1,6,we,SPOTTED SEATROUT,8,5,8,4.5,4.5,1,7
2020-03-16,2,1323,1,6,we,SPOTTED SEATROUT,8,5,8,5.0,5.0,1,4
2020-03-16,2,1551,1,6,we,SPOTTED SEATROUT,8,5,8,8.0,8.0,1,8
2020-03-16,2,1431,1,6,wd,SPOTTED SEATROUT,8,5,8,6.5,6.0,2,0
2020-03-16,1,1353,1,6,wd,SPOTTED SEATROUT,8,5,8,5.0,4.0,1,2
2020-03-16,1,1201,1,6,wd,SPOTTED SEATROUT,8,5,8,4.0,3.0,1,1
2020-03-16,1,1620,1,6,wd,RED DRUM,8,5,8,5.0,3.5,1,5
2020-03-16,2,1503,1,6,wd,RED DRUM,8,5,8,5.0,4.0,1,1
2020-03-16,2,1503,1,6,wd,RED DRUM,8,5,8,5.0,4.0,1,1
2020-03-16,1,1148,1,6,we,SPOTTED SEATROUT,8,5,8,6.0,5.0,1,4
2020-03-16,1,1328,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,3.5,1,1
2020-03-16,1,1234,1,6,we,SPOTTED SEATROUT,8,5,8,3.0,2.0,1,2
2020-03-16,1,1617,1,6,we,SPOTTED SEATROUT,8,5,8,8.0,6.5,2,0
2020-03-16,2,1319,1,6,wd,SPOTTED SEATROUT,8,5,8,6.0,5.0,1,1
2020-03-16,1,1457,1,6,we,SPOTTED SEATROUT,8,5,8,3.5,2.5,1,1
2020-03-16,1,1604,1,6,we,SPOTTED SEATROUT,8,5,8,5.0,4.5,1,3
2020-03-16,1,1632,1,6,we,SPOTTED SEATROUT,8,5,8,5.0,4.0,2,0
2020-03-16,2,1616,1,6,we,SPOTTED SEATROUT,8,5,8,7.0,5.5,1,1
2020-03-16,2,1322,1,6,we,SPOTTED SEATROUT,8,5,8,3.0,2.5,1,4
2020-03-16,1,1436,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,3.5,1,1
2020-03-16,2,1422,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,1.5,2,0
2020-03-16,2,1224,1,6,we,SPOTTED SEATROUT,8,5,8,5.0,3.0,1,8
2020-03-16,2,1236,1,6,we,SPOTTED SEATROUT,8,5,8,6.0,5.0,1,5
2020-03-16,2,1251,1,6,we,SPOTTED SEATROUT,8,5,8,6.0,6.0,1,8
2020-03-16,2,1451,1,6,we,SPOTTED SEATROUT,8,5,8,6.0,5.5,1,1
2020-03-16,2,1530,1,6,we,SPOTTED SEATROUT,8,5,8,6.0,4.0,1,4
2020-03-16,2,1552,1,6,we,SPOTTED SEATROUT,8,5,8,5.0,4.0,1,5
2020-03-16,2,1530,1,6,we,RED DRUM,8,5,8,2.0,2.0,1,1
2018-05-18,4,1428,2,4,we,STRIPED BASS,8,5,8,8.0,7.5,1,1
2018-05-18,4,1447,2,4,we,STRIPED BASS,8,5,8,5.0,4.5,1,1
2018-05-18,4,1452,2,4,we,STRIPED BASS,8,5,8,5.0,4.5,1,1
2018-05-18,4,1455,2,4,we,STRIPED BASS,8,5,8,5.0,4.5,1,1
2018-05-18,4,1447,2,4,we,STRIPED BASS,8,5,8,8.0,7.5,1,1
2018-05-18,4,1514,2,4,we,STRIPED BASS,8,5,8,6.0,5.5,1,1
2019-05-17,4,1343,2,4,we,STRIPED BASS,8,5,8,7.0,6.5,1,1
2019-05-17,4,1343,2,4,we,STRIPED BASS,8,5,8,7.0,6.5,1,1
2019-05-17,4,1424,2,4,we,STRIPED BASS,8,5,8,5.5,5.0,1,1
2019-05-17,4,1429,2,4,we,STRIPED BASS,8,5,8,5.5,5.0,1,1
2019-05-17,4,1104,2,4,we,STRIPED BASS,8,5,8,4.0,3.5,1,1
2019-05-17,4,1105,2,4,we,STRIPED BASS,8,5,8,4.0,3.5,1,1
2019-05-17,4,1502,2,4,we,STRIPED BASS,8,5,8,7.0,6.5,1,1
2019-05-17,4,1216,2,4,wd,STRIPED BASS,8,5,8,6.0,5.5,1,1
2019-05-17,4,1453,2,4,we,STRIPED BASS,8,5,8,8.0,7.5,1,1
2019-05-17,4,1453,2,4,we,STRIPED BASS,8,5,8,8.0,7.5,1,1
2018-05-18,4,1525,2,4,wd,HADDOCK,6,2,2,12.0,7.0,1,13
2018-05-18,4,1555,2,4,wd,HADDOCK,6,2,2,12.0,8.0,1,13
2018-05-18,4,1430,2,4,wd,HADDOCK,6,2,2,12.0,8.0,1,6
2018-05-18,4,1625,2,4,wd,HADDOCK,6,2,2,12.0,8.0,1,13
2018-05-18,4,1455,2,4,wd,HADDOCK,6,2,2,12.0,8.0,1,6
2018-05-18,4,1450,2,4,wd,HADDOCK,6,2,2,12.0,8.0,1,14
2018-05-18,4,1505,2,4,wd,HADDOCK,6,2,2,12.0,8.0,1,9
2018-05-18,4,1500,2,4,wd,HADDOCK,6,2,2,12.0,8.0,1,6
2018-05-18,4,1515,2,4,wd,HADDOCK,6,2,2,12.0,8.0,1,7
2018-05-18,4,1510,2,4,wd,HADDOCK,6,2,2,12.0,8.0,1,6
2018-05-18,4,1440,2,4,wd,HADDOCK,6,2,2,12.0,8.0,2,0
2018-05-18,4,1530,2,4,wd,HADDOCK,6,2,2,12.0,7.0,2,0
2018-05-18,4,1540,2,4,wd,HADDOCK,6,2,2,12.0,3.0,2,0
2018-05-18,4,1545,2,4,wd,HADDOCK,6,2,2,12.0,6.0,2,0
2018-05-18,4,1550,2,4,wd,HADDOCK,6,2,2,12.0,5.5,2,0
2018-05-18,4,1600,2,4,wd,HADDOCK,6,2,2,12.0,8.0,2,0
2018-05-18,4,1605,2,4,wd,HADDOCK,6,2,2,12.0,8.0,2,0
2018-05-18,4,1610,2,4,wd,HADDOCK,6,2,2,12.0,7.5,2,0
2018-05-18,4,1615,2,4,wd,HADDOCK,6,2,2,12.0,6.0,2,0
2018-05-18,4,1620,2,4,wd,HADDOCK,6,2,2,12.0,5.0,2,0
2018-05-18,4,1630,2,4,wd,HADDOCK,6,2,2,12.0,7.0,2,0
2018-05-18,4,1420,2,4,we,HADDOCK,6,2,2,9.5,6.0,1,1
2018-05-18,4,1415,2,4,we,HADDOCK,6,2,2,9.5,3.0,1,2
2018-05-18,4,1515,2,4,we,HADDOCK,6,2,2,9.5,6.0,1,3
2018-05-18,4,1510,2,4,we,HADDOCK,6,2,2,9.5,6.0,1,2
2018-05-18,4,1425,2,4,we,HADDOCK,6,2,2,9.5,3.0,1,4
2018-05-18,4,1505,2,4,we,HADDOCK,6,2,2,9.5,6.0,1,1
2018-05-18,4,1430,2,4,we,HADDOCK,6,2,2,9.5,4.0,1,8
2018-05-18,4,1450,2,4,we,HADDOCK,6,2,2,9.5,6.0,1,2
2018-05-18,4,1605,2,4,we,HADDOCK,6,2,2,9.5,3.0,1,1
2018-05-18,4,1445,2,4,we,HADDOCK,6,2,2,9.5,5.0,2,0
2018-05-18,4,1440,2,4,we,HADDOCK,6,2,2,9.5,5.0,2,0
2018-05-18,4,1530,2,4,we,HADDOCK,6,2,2,9.5,6.0,2,0
2018-05-18,4,1535,2,4,we,HADDOCK,6,2,2,9.5,6.0,2,0
2018-05-18,4,1555,2,4,we,HADDOCK,6,2,2,9.5,8.0,2,0
2018-05-18,4,1600,2,4,we,HADDOCK,6,2,2,9.5,5.0,2,0
2018-05-18,4,1540,2,4,we,HADDOCK,6,2,2,9.5,2.0,2,0
2018-05-18,4,1425,2,4,we,HADDOCK,6,2,2,9.5,1.0,1,24
2018-05-18,4,1550,2,4,we,HADDOCK,6,2,2,9.5,4.5,2,0
2018-05-18,4,1551,2,4,we,HADDOCK,6,2,2,9.5,4.5,2,0
2018-05-18,4,1455,2,4,we,HADDOCK,6,2,2,9.5,5.0,1,10
2018-05-18,4,1610,2,4,we,HADDOCK,6,2,2,9.5,8.0,2,0
2018-05-18,4,1611,2,4,we,HADDOCK,6,2,2,9.5,5.0,2,0
2018-05-18,4,1555,2,4,we,HADDOCK,6,2,2,9.5,4.0,2,0
2018-05-18,4,1435,2,4,we,HADDOCK,6,2,2,9.5,5.0,1,37
2018-05-18,4,1505,2,4,we,HADDOCK,6,2,2,9.5,4.0,1,10
2018-05-18,4,1515,2,4,we,HADDOCK,6,2,2,9.5,5.0,1,4
2018-05-18,4,1525,2,4,we,HADDOCK,6,2,2,9.5,5.0,1,15
2018-05-18,4,1535,2,4,we,HADDOCK,6,2,2,9.5,5.0,1,12
2018-05-18,4,1545,2,4,we,HADDOCK,6,2,2,9.5,5.0,2,0
2018-05-18,4,1546,2,4,we,HADDOCK,6,2,2,9.5,5.0,2,0
2018-05-18,4,1600,2,4,we,HADDOCK,6,2,2,9.5,3.5,2,0
2018-05-18,4,1601,2,4,we,HADDOCK,6,2,2,9.5,3.5,2,0
2018-05-18,4,1605,2,4,we,HADDOCK,6,2,2,9.5,6.0,2,0
2018-05-18,4,1614,2,4,we,HADDOCK,6,2,2,9.5,5.0,2,0
2018-05-18,4,1615,2,4,we,HADDOCK,6,2,2,9.5,5.0,2,0
2018-05-18,4,1619,2,4,we,HADDOCK,6,2,2,9.5,6.0,2,0
2018-05-18,4,1620,2,4,we,HADDOCK,6,2,2,9.5,6.0,2,0
2018-05-18,4,1420,2,4,wd,HADDOCK,6,2,2,9.0,5.0,1,6
2018-05-18,4,1427,2,4,wd,HADDOCK,6,2,2,9.0,6.5,1,6
2018-05-18,4,1450,2,4,wd,HADDOCK,6,2,2,9.0,5.0,1,10
2018-05-18,4,1500,2,4,wd,HADDOCK,6,2,2,9.0,5.0,1,1
2018-05-18,4,1510,2,4,wd,HADDOCK,6,2,2,9.0,5.0,2,0
2018-05-18,4,1515,2,4,wd,HADDOCK,6,2,2,9.0,5.0,2,0
2018-05-18,4,1520,2,4,wd,HADDOCK,6,2,2,9.0,5.0,2,0
2018-05-18,4,1405,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,20
2018-05-18,4,1411,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,16
2018-05-18,4,1417,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,19
2018-05-18,4,1427,2,4,we,HADDOCK,6,2,2,9.0,5.5,1,10
2018-05-18,4,1432,2,4,we,HADDOCK,6,2,2,9.0,5.0,2,0
2018-05-18,4,1431,2,4,we,HADDOCK,6,2,2,9.0,5.0,2,0
2018-05-18,4,1436,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,16
2018-05-18,4,1441,2,4,we,HADDOCK,6,2,2,9.0,4.5,1,5
2018-05-18,4,1446,2,4,we,HADDOCK,6,2,2,9.0,6.0,2,0
2018-05-18,4,1451,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,10
2018-05-18,4,1456,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,10
2018-05-18,4,1458,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,8
2018-05-18,4,1500,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,8
2018-05-18,4,1502,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,8
2018-05-18,4,1504,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,12
2018-05-18,4,1506,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,7
2018-05-18,4,1508,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,4
2018-05-18,4,1510,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,7
2018-05-18,4,1512,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,7
2018-05-18,4,1514,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,12
2018-05-18,4,1516,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,8
2018-05-18,4,1518,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,12
2018-05-18,4,1520,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,8
2018-05-18,4,1522,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,7
2018-05-18,4,1522,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,8
2018-05-18,4,1524,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,6
2019-05-17,4,543,2,4,wd,HADDOCK,6,2,2,12.0,7.0,1,15
2019-05-17,4,558,2,4,wd,HADDOCK,6,2,2,12.0,5.0,1,3
2019-05-17,4,605,2,4,wd,HADDOCK,6,2,2,12.0,5.5,1,20
2019-05-17,4,610,2,4,wd,HADDOCK,6,2,2,12.0,6.0,2,0
2019-05-17,4,614,2,4,wd,HADDOCK,6,2,2,12.0,7.0,1,11
2019-05-17,4,619,2,4,wd,HADDOCK,6,2,2,12.0,5.0,1,4
2019-05-17,4,632,2,4,wd,HADDOCK,6,2,2,12.0,7.0,1,8
2019-05-17,4,640,2,4,wd,HADDOCK,6,2,2,12.0,6.0,1,6
2019-05-17,4,715,2,4,wd,HADDOCK,6,2,2,12.0,7.0,1,9
2019-05-17,4,742,2,4,wd,HADDOCK,6,2,2,12.0,7.0,1,6
2019-05-17,4,605,2,4,wd,HADDOCK,6,2,2,12.0,7.0,1,10
2019-05-17,4,634,2,4,wd,HADDOCK,6,2,2,12.0,7.0,1,12
2019-05-17,4,826,2,4,wd,HADDOCK,6,2,2,12.0,7.0,1,12
2019-05-17,4,1009,2,4,wd,HADDOCK,6,2,2,12.0,6.0,1,4
2019-05-17,4,1009,2,4,wd,HADDOCK,6,2,2,12.0,6.0,1,4
2019-05-17,4,1204,2,4,wd,HADDOCK,6,2,2,12.0,7.0,1,8
2019-05-17,4,510,2,4,wd,HADDOCK,6,2,2,13.0,6.0,1,13
2019-05-17,4,510,2,4,wd,HADDOCK,6,2,2,13.0,7.0,1,17
2019-05-17,4,516,2,4,wd,HADDOCK,6,2,2,13.0,7.0,1,5
2019-05-17,4,517,2,4,wd,HADDOCK,6,2,2,13.0,7.0,1,13
2019-05-17,4,517,2,4,wd,HADDOCK,6,2,2,13.0,7.0,1,7
2019-05-17,4,517,2,4,wd,HADDOCK,6,2,2,13.0,6.5,1,3
2019-05-17,4,521,2,4,wd,HADDOCK,6,2,2,13.0,7.0,2,0
2019-05-17,4,526,2,4,wd,HADDOCK,6,2,2,13.0,7.0,2,0
2019-05-17,4,534,2,4,wd,HADDOCK,6,2,2,13.0,5.0,1,23
2019-05-17,4,538,2,4,wd,HADDOCK,6,2,2,13.0,7.0,1,31
2019-05-17,4,547,2,4,wd,HADDOCK,6,2,2,13.0,6.5,1,14
2019-05-17,4,553,2,4,wd,HADDOCK,6,2,2,13.0,7.0,1,4
2019-05-17,4,554,2,4,wd,HADDOCK,6,2,2,13.0,7.0,1,6
2019-05-17,4,555,2,4,wd,HADDOCK,6,2,2,13.0,7.0,2,0
2019-05-17,4,600,2,4,wd,HADDOCK,6,2,2,13.0,7.0,1,17
2019-05-17,4,608,2,4,wd,HADDOCK,6,2,2,13.0,7.0,1,11
2019-05-17,4,608,2,4,wd,HADDOCK,6,2,2,13.0,7.0,1,6
2019-05-17,4,619,2,4,wd,HADDOCK,6,2,2,13.0,7.0,1,12
2019-05-17,4,631,2,4,wd,HADDOCK,6,2,2,13.0,5.0,2,0
2019-05-17,4,1527,2,4,wd,HADDOCK,6,2,2,13.0,7.0,1,10
2019-05-17,4,1641,2,4,wd,HADDOCK,6,2,2,13.0,7.0,2,0
2019-05-17,4,1641,2,4,wd,HADDOCK,6,2,2,13.0,7.0,2,0
2019-05-17,4,1655,2,4,wd,HADDOCK,6,2,2,13.0,7.0,1,10
2019-05-17,4,1702,2,4,wd,HADDOCK,6,2,2,13.0,6.0,1,3
2019-05-17,4,1708,2,4,wd,HADDOCK,6,2,2,13.0,7.0,1,5
2019-05-17,4,1715,2,4,wd,HADDOCK,6,2,2,13.0,7.0,2,0
2019-05-17,4,705,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,7
2019-05-17,4,737,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,10
2019-05-17,4,752,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,5
2019-05-17,4,755,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,11
2019-05-17,4,757,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,6
2019-05-17,4,815,2,4,we,HADDOCK,6,2,2,9.0,5.0,2,0
2019-05-17,4,819,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,14
2019-05-17,4,849,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,17
2019-05-17,4,1507,2,4,we,HADDOCK,6,2,2,9.0,5.0,1,1
2019-05-17,4,1536,2,4,we,HADDOCK,6,2,2,9.0,5.0,2,0
2019-05-17,4,1536,2,4,we,HADDOCK,6,2,2,9.0,4.5,2,0
2019-05-17,4,1601,2,4,we,HADDOCK,6,2,2,9.0,5.0,2,0
2018-05-18,4,1501,2,4,wd,HADDOCK,6,2,2,12.0,6.0,1,27
2018-05-18,4,1502,2,4,wd,HADDOCK,6,2,2,12.0,6.0,1,18
2018-05-18,4,1503,2,4,wd,HADDOCK,6,2,2,12.0,6.0,1,18
2018-05-18,4,1504,2,4,wd,HADDOCK,6,2,2,12.0,6.0,1,25
2018-05-18,4,1509,2,4,wd,HADDOCK,6,2,2,12.0,6.0,1,20
2018-05-18,4,1510,2,4,wd,HADDOCK,6,2,2,12.0,6.0,1,19
2018-05-18,4,1511,2,4,wd,HADDOCK,6,2,2,12.0,6.0,2,0
2018-05-18,4,1512,2,4,wd,HADDOCK,6,2,2,12.0,6.0,1,37
2018-05-18,4,1513,2,4,wd,HADDOCK,6,2,2,12.0,6.0,1,30
2018-05-18,4,1514,2,4,wd,HADDOCK,6,2,2,12.0,6.0,1,27
2018-05-18,4,1515,2,4,wd,HADDOCK,6,2,2,12.0,6.0,1,27
2018-05-18,4,1517,2,4,wd,HADDOCK,6,2,2,12.0,6.0,1,34
2018-05-18,4,1523,2,4,wd,HADDOCK,6,2,2,12.0,6.0,1,26
2018-05-18,4,1501,2,4,we,HADDOCK,6,2,2,12.0,7.5,1,19
2018-05-18,4,1502,2,4,we,HADDOCK,6,2,2,12.0,7.5,1,18
2018-05-18,4,1503,2,4,we,HADDOCK,6,2,2,12.0,7.5,1,28
2018-05-18,4,1504,2,4,we,HADDOCK,6,2,2,12.0,7.5,1,13
2018-05-18,4,1505,2,4,we,HADDOCK,6,2,2,12.0,6.5,1,6
2018-05-18,4,1507,2,4,we,HADDOCK,6,2,2,12.0,7.5,1,18
2018-05-18,4,1508,2,4,we,HADDOCK,6,2,2,12.0,7.5,1,29
2018-05-18,4,1512,2,4,we,HADDOCK,6,2,2,12.0,7.5,1,37
2018-05-18,4,1517,2,4,we,HADDOCK,6,2,2,12.0,7.5,1,11
2018-05-18,4,1520,2,4,we,HADDOCK,6,2,2,12.0,7.5,1,17
2018-05-18,4,1521,2,4,we,HADDOCK,6,2,2,12.0,7.5,1,21
2018-05-18,4,1523,2,4,we,HADDOCK,6,2,2,12.0,7.5,1,30
2018-05-18,4,1524,2,4,we,HADDOCK,6,2,2,12.0,7.5,1,26
2018-05-18,4,1525,2,4,we,HADDOCK,6,2,2,12.0,7.5,1,23
2019-05-17,4,626,2,4,wd,HADDOCK,6,2,2,9.0,3.5,1,19
2019-05-17,4,654,2,4,wd,HADDOCK,6,2,2,9.0,3.5,1,17
2019-05-17,4,654,2,4,wd,HADDOCK,6,2,2,9.0,3.5,1,20
2019-05-17,4,851,2,4,wd,HADDOCK,6,2,2,9.0,3.5,1,22
2019-05-17,4,650,2,4,wd,HADDOCK,6,2,2,9.0,3.5,1,14
2019-05-17,4,656,2,4,wd,HADDOCK,6,2,2,9.0,3.5,1,20
2019-05-17,4,711,2,4,wd,HADDOCK,6,2,2,9.0,3.5,1,25
2019-05-17,4,638,2,4,we,HADDOCK,6,2,2,8.5,4.0,1,3
2019-05-17,4,647,2,4,we,HADDOCK,6,2,2,8.5,4.0,1,5
2019-05-17,4,649,2,4,we,HADDOCK,6,2,2,8.5,4.0,1,4
2019-05-17,4,652,2,4,we,HADDOCK,6,2,2,8.5,3.5,1,12
2019-05-17,4,657,2,4,we,HADDOCK,6,2,2,8.5,4.0,1,12
2019-05-17,4,643,2,4,we,HADDOCK,6,2,2,8.5,4.0,1,7
2019-05-17,4,644,2,4,we,HADDOCK,6,2,2,8.5,4.0,1,8
2019-05-17,4,644,2,4,we,HADDOCK,6,2,2,8.5,4.0,1,11
2019-05-17,4,656,2,4,we,HADDOCK,6,2,2,8.5,0.5,1,13
2019-05-17,4,659,2,4,we,HADDOCK,6,2,2,8.5,4.0,2,0
2019-05-17,4,659,2,4,we,HADDOCK,6,2,2,8.5,4.0,1,9
2019-05-17,4,708,2,4,we,HADDOCK,6,2,2,8.5,4.0,1,10
2019-05-17,4,708,2,4,we,HADDOCK,6,2,2,8.5,4.0,1,11
2019-05-17,4,708,2,4,we,HADDOCK,6,2,2,8.5,4.0,1,3
2019-05-17,4,936,2,4,we,TAUTOG,8,5,8,3.0,2.5,1,3
2019-05-17,4,1121,2,4,we,TAUTOG,8,5,8,4.0,3.5,1,6
2018-05-18,4,1502,2,5,we,TAUTOG,6,2,2,9.5,6.0,1,2
2018-05-18,4,1506,2,5,we,TAUTOG,6,2,2,9.5,6.0,1,3
2018-05-18,4,1508,2,5,we,TAUTOG,6,2,2,9.5,6.0,1,2
2018-05-18,4,1510,2,5,we,TAUTOG,6,2,2,9.5,5.5,1,4
2018-05-18,4,1512,2,5,we,TAUTOG,6,2,2,9.5,6.0,1,1
2018-05-18,4,1517,2,5,we,TAUTOG,6,2,2,9.5,5.5,1,3
2018-05-18,4,1518,2,5,we,TAUTOG,6,2,2,9.5,6.0,1,2
