Date file created,Month of intercept,Time of intercept,Data sampling period,Sub region of trip,Kind of day,Fish target species,Mode of fishing,Collapsed area of fishing,Distance from shore,Hours on boat,Hours fished,Catch fish,Number of fish avail for inspection,County of intercept,State of intercept,Area of fishing,Angler age,Angler gender,Number in fishing party,Number of contributing fishermen,See any sea turtles while fishing?
2020-03-16,2,1120,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,3.5,1,4,49,37,3,57,1,1,1,3
2020-03-16,2,1234,1,6,we,SPOTTED SEATROUT,8,5,8,5.0,4.5,1,1,49,37,3,53,1,2,1,3
2020-03-16,2,1632,1,6,we,SPOTTED SEATROUT,8,5,8,3.0,2.5,2,0,49,37,3,67,1,1,1,3
2020-03-16,2,1312,1,6,we,KINGFISH GENUS,8,5,8,3.0,2.0,1,6,31,37,3,35,1,2,2,3
2020-03-16,1,1506,1,6,wd,SOUTHERN KINGFISH,8,5,8,6.0,5.0,2,0,19,37,3,69,1,2,1,3
2020-03-16,1,1506,1,6,wd,SOUTHERN KINGFISH,8,5,8,6.0,5.0,2,0,19,37,3,67,1,2,1,3
2020-03-16,1,1542,1,6,we,SPOTTED SEATROUT,8,5,8,5.0,4.5,1,1,19,37,5,62,1,2,1,3
2020-03-16,1,1639,1,6,wd,STRIPED BASS,8,5,8,8.0,6.0,1,6,129,37,3,36,1,3,3,3
2020-03-16,2,1134,1,6,wd,SPOTTED SEATROUT,8,5,8,5.0,4.0,1,1,129,37,3,16,1,2,1,3
2020-03-16,2,1537,1,6,wd,SPOTTED SEATROUT,8,5,8,6.0,5.0,1,3,19,37,5,65,1,2,2,3
2020-03-16,1,1338,1,6,wd,SPOTTED SEATROUT,8,5,8,6.0,5.0,1,8,95,37,G,56,1,2,2,3
2020-03-16,1,1523,1,6,wd,SHEEPSHEAD,8,5,8,5.0,4.0,1,1,31,37,3,54,1,2,1,3
2020-03-16,1,1204,1,6,wd,SPOTTED SEATROUT,8,5,8,2.5,2.0,1,1,31,37,2,58,1,1,1,3
2020-03-16,1,1525,1,6,wd,SPOTTED SEATROUT,8,5,8,6.0,6.0,1,3,31,37,3,72,1,2,1,3
2020-03-16,1,1600,1,6,wd,SPOTTED SEATROUT,8,5,8,6.5,5.0,1,4,31,37,3,63,1,1,1,3
2020-03-16,1,1425,1,6,wd,SPOTTED SEATROUT,8,5,8,7.0,5.0,1,4,31,37,2,62,1,1,1,3
2020-03-16,1,1125,1,6,wd,SPOTTED SEATROUT,8,5,8,4.5,3.0,1,2,133,37,3,67,1,1,1,3
2020-03-16,1,1137,1,6,wd,SPOTTED SEATROUT,8,5,8,4.5,4.0,1,4,133,37,3,54,1,1,1,3
2020-03-16,1,1236,1,6,wd,SPOTTED SEATROUT,8,5,8,5.5,4.0,1,5,133,37,3,62,1,2,2,3
2020-03-16,1,1427,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,2.0,1,1,133,37,2,64,1,1,1,3
2020-03-16,1,1431,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,2.0,1,1,133,37,2,53,1,1,1,3
2020-03-16,2,1452,1,6,wd,BLACK DRUM,8,5,8,8.0,7.0,1,3,133,37,3,35,1,3,2,3
2020-03-16,1,1112,1,6,we,SPOTTED SEATROUT,8,5,8,5.0,4.0,1,8,13,37,3,55,1,2,2,3
2020-03-16,1,1157,1,6,we,SPOTTED SEATROUT,8,5,8,3.0,2.5,1,4,13,37,3,74,1,2,1,3
2020-03-16,1,1121,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,3.0,1,3,49,37,3,29,1,1,1,3
2020-03-16,1,1208,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,3.5,1,3,49,37,3,65,1,2,1,3
2020-03-16,1,1235,1,6,we,SPOTTED SEATROUT,8,5,8,6.0,5.0,1,7,49,37,3,20,1,3,3,3
2020-03-16,1,1700,1,6,we,SPOTTED SEATROUT,8,5,8,11.0,10.0,1,6,49,37,3,30,1,3,3,3
2020-03-16,1,1240,1,6,wd,SPOTTED SEATROUT,8,5,8,3.0,3.0,1,3,49,37,3,66,1,1,1,3
2020-03-16,1,1249,1,6,wd,SPOTTED SEATROUT,8,5,8,4.0,4.0,1,4,49,37,3,70,1,1,1,3
2020-03-16,1,1321,1,6,wd,SPOTTED SEATROUT,8,5,8,6.0,6.0,1,3,49,37,3,71,1,2,1,3
2020-03-16,1,1324,1,6,wd,SPOTTED SEATROUT,8,5,8,6.0,6.0,1,1,49,37,3,71,1,2,1,3
2020-03-16,1,1501,1,6,wd,SPOTTED SEATROUT,8,5,8,3.0,2.5,1,1,49,37,3,61,1,3,1,3
2020-03-16,1,1443,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,3.5,1,5,49,37,3,48,1,2,1,3
2020-03-16,1,1443,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,3.5,1,1,49,37,3,40,1,2,1,3
2020-03-16,1,1645,1,6,we,SPOTTED SEATROUT,8,5,8,2.5,2.5,1,8,49,37,3,60,1,2,2,3
2020-03-16,1,1240,1,6,we,SPOTTED SEATROUT,8,5,8,5.0,4.5,1,1,13,37,3,29,1,3,1,3
2020-03-16,1,1205,1,6,we,SPOTTED SEATROUT,8,5,8,6.0,4.5,1,8,137,37,3,37,1,2,2,3
2020-03-16,1,1340,1,6,we,SPOTTED SEATROUT,8,5,8,6.0,5.0,1,7,137,37,3,45,1,2,2,3
2020-03-16,1,1210,1,6,wd,SPOTTED SEATROUT,8,5,8,5.0,5.0,1,6,137,37,3,75,1,2,2,3
2020-03-16,1,1239,1,6,wd,SPOTTED SEATROUT,8,5,8,5.0,4.0,1,4,137,37,3,73,1,1,1,3
2020-03-16,1,1613,1,6,wd,SPOTTED SEATROUT,8,5,8,8.0,5.0,1,1,137,37,3,45,1,2,1,3
2020-03-16,1,1614,1,6,wd,SPOTTED SEATROUT,8,5,8,8.0,5.0,1,1,137,37,3,52,1,2,1,3
2020-03-16,2,1145,1,6,we,SPOTTED SEATROUT,8,5,8,4.5,4.5,1,7,13,37,3,59,1,2,2,3
2020-03-16,2,1323,1,6,we,SPOTTED SEATROUT,8,5,8,5.0,5.0,1,4,13,37,3,27,1,2,1,3
2020-03-16,2,1551,1,6,we,SPOTTED SEATROUT,8,5,8,8.0,8.0,1,8,13,37,3,49,1,2,2,3
2020-03-16,2,1431,1,6,wd,SPOTTED SEATROUT,8,5,8,6.5,6.0,2,0,137,37,3,42,1,1,1,3
2020-03-16,1,1353,1,6,wd,SPOTTED SEATROUT,8,5,8,5.0,4.0,1,2,129,37,3,31,1,2,1,3
2020-03-16,1,1201,1,6,wd,SPOTTED SEATROUT,8,5,8,4.0,3.0,1,1,129,37,3,31,1,2,1,3
2020-03-16,1,1620,1,6,wd,RED DRUM,8,5,8,5.0,3.5,1,5,129,37,3,23,1,3,3,3
2020-03-16,2,1503,1,6,wd,RED DRUM,8,5,8,5.0,4.0,1,1,129,37,5,66,1,2,1,3
2020-03-16,2,1503,1,6,wd,RED DRUM,8,5,8,5.0,4.0,1,1,129,37,5,73,1,2,1,3
2020-03-16,1,1148,1,6,we,SPOTTED SEATROUT,8,5,8,6.0,5.0,1,4,129,37,2,31,1,2,2,3
2020-03-16,1,1328,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,3.5,1,1,129,37,2,58,1,2,1,3
2020-03-16,1,1234,1,6,we,SPOTTED SEATROUT,8,5,8,3.0,2.0,1,2,129,37,3,60,1,1,1,3
2020-03-16,1,1617,1,6,we,SPOTTED SEATROUT,8,5,8,8.0,6.5,2,0,129,37,2,34,1,2,1,3
2020-03-16,2,1319,1,6,wd,SPOTTED SEATROUT,8,5,8,6.0,5.0,1,1,19,37,3,40,1,2,1,3
2020-03-16,1,1457,1,6,we,SPOTTED SEATROUT,8,5,8,3.5,2.5,1,1,55,37,G,45,1,2,1,3
2020-03-16,1,1604,1,6,we,SPOTTED SEATROUT,8,5,8,5.0,4.5,1,3,31,37,3,27,1,2,2,3
2020-03-16,1,1632,1,6,we,SPOTTED SEATROUT,8,5,8,5.0,4.0,2,0,31,37,3,31,1,3,1,3
2020-03-16,1,1640,1,6,we,SHEEPSHEAD,8,5,8,5.0,4.0,1,3,31,37,3,54,1,1,1,3
2020-03-16,2,1316,1,6,wd,KINGFISH GENUS,8,5,8,4.0,3.5,1,20,31,37,3,50,1,1,1,3
2020-03-16,2,1616,1,6,we,SPOTTED SEATROUT,8,5,8,7.0,5.5,1,1,31,37,5,66,1,2,1,3
2020-03-16,2,1322,1,6,we,SPOTTED SEATROUT,8,5,8,3.0,2.5,1,4,31,37,3,71,1,1,1,3
2020-03-16,2,1435,1,6,we,KINGFISH GENUS,8,5,8,6.0,5.0,1,9,31,37,3,46,1,3,2,3
2020-03-16,1,1436,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,3.5,1,1,31,37,3,68,1,1,1,3
2020-03-16,2,1447,1,6,wd,BLACK DRUM,8,5,8,4.0,3.5,1,2,31,37,3,66,1,2,2,3
2020-03-16,2,1422,1,6,we,SPOTTED SEATROUT,8,5,8,4.0,1.5,2,0,31,37,3,27,1,1,1,3
2020-03-16,2,1224,1,6,we,SPOTTED SEATROUT,8,5,8,5.0,3.0,1,8,137,37,3,47,1,2,2,3
2020-03-16,2,1236,1,6,we,SPOTTED SEATROUT,8,5,8,6.0,5.0,1,5,137,37,3,48,1,2,2,3
2020-03-16,2,1251,1,6,we,SPOTTED SEATROUT,8,5,8,6.0,6.0,1,8,137,37,3,65,1,2,2,3
2020-03-16,2,1451,1,6,we,SPOTTED SEATROUT,8,5,8,6.0,5.5,1,1,137,37,3,74,1,2,1,3
2020-03-16,2,1530,1,6,we,SPOTTED SEATROUT,8,5,8,6.0,4.0,1,4,137,37,3,36,1,2,2,3
2020-03-16,2,1552,1,6,we,SPOTTED SEATROUT,8,5,8,5.0,4.0,1,5,31,37,3,38,1,3,3,3
2020-03-16,2,1530,1,6,we,RED DRUM,8,5,8,2.0,2.0,1,1,31,37,3,43,1,2,1,3
2018-05-18,4,1317,2,6,we,RED DRUM,7,1,1,6.0,5.0,1,1,129,37,1,30,1,3,1,3
2018-05-18,4,1530,2,6,we,RED DRUM,7,1,1,4.0,3.5,2,0,129,37,1,45,1,4,1,3
2019-05-17,4,1122,2,6,wd,BLUEFISH,7,1,1,4.0,2.5,2,0,55,37,1,36,1,5,1,3
2019-05-17,4,1127,2,6,wd,BLUEFISH,7,1,1,4.0,2.5,2,0,55,37,1,28,1,5,1,3
2019-05-17,4,1128,2,6,wd,BLUEFISH,7,1,1,4.0,2.5,2,0,55,37,1,33,1,5,1,3
2019-05-17,4,1627,2,6,we,WAHOO,7,2,2,11.0,5.0,1,22,31,37,1,63,1,4,4,3
2018-05-18,4,1658,2,6,wd,DOLPHIN,7,2,2,9.0,5.0,1,11,31,37,1,46,1,5,5,3
2019-05-17,4,1648,2,6,wd,YELLOWFIN TUNA,7,2,2,11.5,7.0,1,26,31,37,1,68,1,6,6,3
2018-05-18,4,1145,2,6,we,ATLANTIC BONITO,7,2,2,5.0,4.0,2,0,129,37,1,16,1,6,1,3
2018-05-18,4,1147,2,6,we,ATLANTIC BONITO,7,2,2,5.0,4.0,2,0,129,37,1,15,1,6,1,3
2018-05-18,4,1149,2,6,we,ATLANTIC BONITO,7,2,2,5.0,4.0,2,0,129,37,1,13,1,6,1,3
2018-05-18,4,1151,2,6,we,ATLANTIC BONITO,7,2,2,5.0,4.0,2,0,129,37,1,48,1,6,1,3
2018-05-18,4,1153,2,6,we,ATLANTIC BONITO,7,2,2,5.0,4.0,2,0,129,37,1,46,2,6,1,3
2018-05-18,4,1358,2,6,we,TUNA GENUS,7,2,2,9.0,5.0,1,17,55,37,1,39,1,6,6,3
2018-05-18,4,1427,2,6,we,YELLOWFIN TUNA,7,2,2,9.5,5.5,1,19,55,37,1,70,1,6,6,3
2018-05-18,4,1502,2,6,we,TUNA GENUS,7,2,2,9.5,5.5,1,14,55,37,1,17,1,6,6,3
2018-05-18,4,1533,2,6,we,TUNA GENUS,7,2,2,10.0,6.0,1,12,55,37,1,61,1,3,3,3
2018-05-18,4,1552,2,6,we,TUNA GENUS,7,2,2,10.0,6.0,1,8,55,37,1,50,1,4,4,3
2018-05-18,4,1641,2,6,we,TUNA GENUS,7,2,2,10.5,6.5,1,16,55,37,1,25,1,5,5,3
2018-05-18,4,1519,2,6,we,TUNA GENUS,7,2,2,9.0,5.0,1,4,55,37,1,62,1,6,4,3
2018-05-18,4,1627,2,6,we,TUNA GENUS,7,2,2,10.0,6.0,1,12,55,37,1,58,1,6,6,3
2018-05-18,4,1735,2,6,we,TUNA GENUS,7,2,2,10.5,6.5,1,7,55,37,1,37,2,3,3,3
2018-05-18,4,1752,2,6,we,TUNA GENUS,7,2,2,10.5,6.5,1,12,55,37,1,40,1,5,5,3
2019-05-17,4,1535,2,6,we,WAHOO,7,2,2,9.0,5.0,1,24,55,37,1,53,1,6,5,3
2019-05-17,4,1600,2,6,wd,YELLOWFIN TUNA,7,2,2,10.5,6.5,1,3,55,37,1,58,1,4,3,3
2019-05-17,4,1543,2,6,wd,TUNA GENUS,7,2,2,10.0,6.0,1,8,55,37,1,75,1,4,4,3
2019-05-17,4,1634,2,6,wd,YELLOWFIN TUNA,7,2,2,11.0,7.0,1,6,55,37,1,52,1,6,4,1
2020-05-19,3,1653,2,6,wd,TUNA GENUS,7,2,2,10.0,6.0,1,10,55,37,1,21,1,6,6,3
2018-05-18,4,1744,2,6,we,YELLOWFIN TUNA,7,2,2,11.5,7.5,1,26,31,37,1,59,1,6,6,3
2018-05-18,4,1757,2,6,we,DOLPHIN,7,2,2,11.5,6.5,1,20,31,37,1,30,2,6,6,3
2018-05-18,4,1628,2,6,we,DOLPHIN,7,2,2,11.0,7.0,1,6,31,37,1,41,1,6,6,3
2018-05-18,4,1651,2,6,we,DOLPHIN,7,2,2,11.5,7.5,1,7,31,37,1,27,1,5,5,3
2019-05-17,4,1650,2,6,wd,WAHOO,7,2,2,11.5,7.5,1,13,31,37,1,64,1,5,5,3
2019-05-17,4,1657,2,6,wd,WAHOO,7,2,2,11.5,7.0,1,15,31,37,1,65,1,5,5,1
2020-05-19,3,1600,2,6,we,KING MACKEREL,7,2,2,9.0,6.0,2,0,133,37,1,23,1,5,1,3
2020-05-19,3,1604,2,6,we,KING MACKEREL,7,2,2,9.0,6.0,2,0,133,37,1,20,1,5,1,3
2020-05-19,3,1604,2,6,we,KING MACKEREL,7,2,2,9.0,6.0,2,0,133,37,1,24,1,5,1,3
2020-05-19,3,1604,2,6,we,KING MACKEREL,7,2,2,9.0,6.0,2,0,133,37,1,27,1,5,1,3
2018-05-18,4,1610,2,6,we,TUNA GENUS,7,2,2,10.5,6.5,1,5,55,37,1,29,1,6,5,3
2018-05-18,4,1635,2,6,we,YELLOWFIN TUNA,7,2,2,11.0,7.0,1,12,55,37,1,53,1,6,6,3
2018-05-18,4,1649,2,6,we,DOLPHIN,7,2,2,11.5,7.5,1,15,55,37,1,24,1,4,4,3
2018-05-18,4,1657,2,6,we,DOLPHIN,7,2,2,11.5,7.5,1,17,55,37,1,21,1,5,5,3
2019-05-17,4,1645,2,6,we,TUNA GENUS,7,2,2,11.0,7.0,1,11,55,37,1,60,1,5,5,3
2019-05-17,4,1654,2,6,we,TUNA GENUS,7,2,2,11.0,7.0,1,9,55,37,1,25,1,6,6,3
2019-05-17,4,1621,2,6,wd,DOLPHIN,7,2,2,11.0,7.0,1,25,55,37,1,54,1,5,5,3
2019-05-17,4,1639,2,6,wd,TUNA GENUS,7,2,2,11.0,7.0,1,33,55,37,1,37,1,4,4,3
2018-05-18,4,1649,2,6,we,YELLOWFIN TUNA,7,2,2,11.0,6.0,1,15,31,37,1,46,1,5,5,1
2018-05-18,4,1745,2,6,wd,YELLOWFIN TUNA,7,2,2,10.5,8.0,1,3,55,37,1,47,1,4,3,3
2018-05-18,4,1840,2,6,wd,YELLOWFIN TUNA,7,2,2,11.5,7.0,1,2,55,37,1,59,1,6,2,3
2018-05-18,4,1500,2,6,we,YELLOWFIN TUNA,7,2,2,9.5,5.5,1,2,55,37,1,58,1,3,2,3
2018-05-18,4,1540,2,6,we,YELLOWFIN TUNA,7,2,2,9.5,5.5,1,19,55,37,1,52,2,6,6,1
2018-05-18,4,1608,2,6,we,YELLOWFIN TUNA,7,2,2,10.5,6.5,1,9,55,37,1,49,1,4,4,3
2018-05-18,4,1616,2,6,we,YELLOWFIN TUNA,7,2,2,11.0,7.0,1,8,55,37,1,42,1,6,6,3
2018-05-18,4,1635,2,6,we,YELLOWFIN TUNA,7,2,2,11.5,7.5,1,9,55,37,1,53,1,4,4,3
2019-05-17,4,1345,2,6,we,YELLOWFIN TUNA,7,2,2,11.0,6.0,1,17,55,37,1,50,1,6,6,3
2019-05-17,4,1319,2,6,wd,TUNA GENUS,7,2,2,8.0,3.0,1,12,55,37,1,49,1,6,6,3
2019-05-17,4,1527,2,6,wd,DOLPHIN,7,2,2,10.0,6.0,1,11,55,37,1,52,1,6,6,3
2018-05-18,4,1642,2,6,wd,YELLOWFIN TUNA,7,2,2,12.0,9.0,1,10,55,37,1,47,1,4,4,3
2018-05-18,4,1456,2,6,we,YELLOWFIN TUNA,7,2,2,8.0,6.0,1,1,55,37,1,37,1,4,1,1
2018-05-18,4,1621,2,6,we,YELLOWFIN TUNA,7,2,2,11.0,8.5,1,2,55,37,1,65,1,5,2,3
2018-05-18,4,1635,2,6,we,BLUEFIN TUNA,7,2,2,11.0,8.5,1,1,55,37,1,54,1,5,1,3
2018-05-18,4,1445,2,6,wd,YELLOWFIN TUNA,7,2,2,10.0,7.5,1,8,55,37,1,60,1,4,4,3
2018-05-18,4,1603,2,6,wd,YELLOWFIN TUNA,7,2,2,11.5,9.0,1,17,55,37,1,59,1,5,5,3
2018-05-18,4,1636,2,6,wd,YELLOWFIN TUNA,7,2,2,12.5,10.0,1,11,55,37,1,41,1,3,3,3
2018-05-18,4,1639,2,6,wd,YELLOWFIN TUNA,7,2,2,12.5,10.0,1,7,55,37,1,47,1,2,2,3
2018-05-18,4,1615,2,6,wd,YELLOWFIN TUNA,7,2,2,10.5,8.0,1,18,55,37,1,49,1,5,5,3
2018-05-18,4,1655,2,6,wd,YELLOWFIN TUNA,7,2,2,11.0,8.5,1,12,55,37,1,57,1,5,5,3
2018-05-18,4,1707,2,6,wd,YELLOWFIN TUNA,7,2,2,12.0,9.0,1,8,55,37,1,35,1,4,4,3
2018-05-18,4,1527,2,6,we,YELLOWFIN TUNA,7,2,2,10.5,9.0,1,30,55,37,1,55,1,3,3,3
2018-05-18,4,1542,2,6,we,DOLPHIN,7,2,2,11.0,8.5,1,17,55,37,1,60,1,6,6,3
2018-05-18,4,1615,2,6,we,YELLOWFIN TUNA,7,2,2,11.0,8.5,1,12,55,37,1,47,1,6,6,3
2018-05-18,4,1620,2,6,we,YELLOWFIN TUNA,7,2,2,11.5,9.0,1,15,55,37,1,53,1,6,6,3
2018-05-18,4,1635,2,6,we,YELLOWFIN TUNA,7,2,2,11.5,9.0,1,32,55,37,1,43,1,6,6,1
2018-05-18,4,1655,2,6,we,YELLOWFIN TUNA,7,2,2,12.0,9.5,1,9,55,37,1,39,1,6,6,3
2018-05-18,4,1652,2,6,wd,TUNA GENUS,7,2,2,10.0,8.0,1,19,55,37,1,61,1,6,6,3
2020-05-19,3,1434,2,6,wd,TUNA GENUS,7,2,2,8.0,5.5,1,12,55,37,1,58,1,2,2,3
2020-05-19,3,1608,2,6,wd,TUNA GENUS,7,2,2,9.5,6.0,1,12,55,37,1,39,1,3,3,3
2019-05-17,4,1445,2,6,wd,TUNA GENUS,7,2,2,9.0,6.0,1,16,55,37,1,58,1,5,5,3
2019-05-17,4,1544,2,6,wd,TUNA GENUS,7,2,2,7.0,5.0,1,8,55,37,1,16,1,3,3,3
2019-05-17,4,1704,2,6,wd,TUNA GENUS,7,2,2,12.0,8.0,1,13,55,37,1,59,1,4,4,3
2019-05-17,4,1656,2,6,wd,TUNA GENUS,7,2,2,11.0,8.5,1,16,55,37,1,33,1,6,6,3
2020-05-19,3,1942,2,6,wd,SPOTTED SEATROUT,7,5,8,5.5,5.0,2,0,49,37,3,41,1,4,1,3
2020-05-19,3,1944,2,6,wd,SPOTTED SEATROUT,7,5,8,5.5,5.0,2,0,49,37,3,48,1,4,1,3
2019-05-17,4,1337,2,6,wd,RED DRUM,7,5,8,5.0,4.0,1,1,129,37,3,46,1,3,1,3
2019-05-17,4,1337,2,6,wd,RED DRUM,7,5,8,5.0,4.0,1,1,129,37,3,8,1,3,1,3
2019-05-17,4,1337,2,6,wd,RED DRUM,7,5,8,5.0,4.0,1,1,129,37,3,11,1,3,1,3
2018-05-18,4,1511,2,6,wd,RED DRUM,7,5,8,4.0,3.5,1,4,129,37,5,27,1,5,4,3
2019-05-17,4,1447,2,6,wd,RED DRUM,7,5,8,6.5,5.0,1,8,129,37,3,60,2,4,4,1
2019-05-17,4,1314,2,6,wd,RED DRUM,7,5,8,5.5,4.5,1,8,129,37,3,72,1,1,1,3
2018-05-18,4,1217,2,6,wd,SPINY DOGFISH,7,5,8,4.0,3.0,1,1,55,37,2,12,1,6,1,3
2018-05-18,4,1218,2,6,wd,SPINY DOGFISH,7,5,8,4.0,3.0,1,1,55,37,2,8,1,6,1,3
2020-05-19,3,1344,2,6,wd,SPOTTED SEATROUT,7,5,8,6.0,5.0,2,0,19,37,3,31,1,1,1,3
2020-05-19,3,1521,2,6,we,SPOTTED SEATROUT,7,5,8,6.5,5.0,1,3,49,37,3,45,1,3,1,3
2018-05-18,4,1547,2,6,wd,BLUEFISH,8,1,1,2.5,2.0,2,0,31,37,1,47,1,2,1,1
2018-05-18,4,1548,2,6,wd,BLUEFISH,8,1,1,2.5,2.0,2,0,31,37,1,16,1,2,1,1
2019-05-17,4,1459,2,6,we,NORTHERN PUFFER,8,1,1,4.0,3.0,2,0,31,37,1,71,1,2,1,3
2019-05-17,4,1459,2,6,we,NORTHERN PUFFER,8,1,1,4.0,3.0,2,0,31,37,1,74,1,2,1,3
2019-05-17,4,1431,2,6,we,KINGFISH GENUS,8,1,1,5.0,4.0,2,0,31,37,1,23,1,3,1,3
2019-05-17,4,1617,2,6,wd,ATLANTIC MENHADEN,8,1,1,5.0,2.5,2,0,31,37,1,25,1,2,1,1
2019-05-17,4,1618,2,6,wd,ATLANTIC MENHADEN,8,1,1,5.0,2.5,2,0,31,37,1,24,1,2,1,1
2019-05-17,4,1516,2,6,we,KINGFISH GENUS,8,1,1,7.0,6.0,2,0,31,37,1,48,1,1,1,1
2019-05-17,4,1507,2,6,we,BLUEFISH,8,1,1,6.0,4.5,2,0,31,37,1,14,1,3,1,3
2019-05-17,4,1508,2,6,we,BLUEFISH,8,1,1,6.0,4.5,2,0,31,37,1,14,1,3,1,3
2019-05-17,4,1337,2,6,wd,ATLANTIC BONITO,8,1,1,5.0,3.0,1,3,31,37,1,50,1,3,3,1
2019-05-17,4,1429,2,6,wd,LEFTEYE FLOUNDER GENUS,8,1,1,6.0,4.0,1,3,31,37,1,48,1,1,1,3
2019-05-17,4,1527,2,6,wd,KINGFISH GENUS,8,1,1,5.0,4.0,1,24,31,37,1,69,1,2,2,3
