index,Date file created_k,Month of intercept_k,Time of intercept_k,Data sampling period_k,Sub region of trip_k,Kind of day_k,Fish target species_k,Mode of fishing_k,Collapsed area of fishing_k,Distance from shore_k,Hours on boat_k,Hours fished_k,Catch fish_k,Number of fish avail for inspection_k,County of intercept_k,State of intercept_k,Area of fishing_k,Angler age_k,Angler gender_k,Number in fishing party_k,Number of contributing fishermen_k,See any sea turtles while fishing?_k
39,16-Mar-20,1,1506,1,6,wd,SOUTHERN KINGFISH,8,5,8,6,5,2,0,19,37,3,67,1,2,1,3
40,16-Mar-20,1,1542,1,6,we,SPOTTED SEATROUT,8,5,8,5,4.5,1,1,19,37,5,62,1,2,1,3
41,16-Mar-20,1,1639,1,6,wd,STRIPED BASS,8,5,8,8,6,1,6,129,37,3,36,1,3,3,3
42,16-Mar-20,2,1134,1,6,wd,SPOTTED SEATROUT,8,5,8,5,4,1,1,129,37,3,16,1,2,1,3
43,16-Mar-20,2,1537,1,6,wd,SPOTTED SEATROUT,8,5,8,6,5,1,3,19,37,5,65,1,2,2,3
44,16-Mar-20,1,1338,1,6,wd,SPOTTED SEATROUT,8,5,8,6,5,1,8,95,37,G,56,1,2,2,3
45,16-Mar-20,1,1523,1,6,wd,SHEEPSHEAD,8,5,8,5,4,1,1,31,37,3,54,1,2,1,3
46,16-Mar-20,1,1204,1,6,wd,SPOTTED SEATROUT,8,5,8,2.5,2,1,1,31,37,2,58,1,1,1,3
47,16-Mar-20,1,1525,1,6,wd,SPOTTED SEATROUT,8,5,8,6,6,1,3,31,37,3,72,1,2,1,3
48,16-Mar-20,1,1600,1,6,wd,SPOTTED SEATROUT,8,5,8,6.5,5,1,4,31,37,3,63,1,1,1,3
49,16-Mar-20,1,1425,1,6,wd,SPOTTED SEATROUT,8,5,8,7,5,1,4,31,37,2,62,1,1,1,3
50,16-Mar-20,1,1125,1,6,wd,SPOTTED SEATROUT,8,5,8,4.5,3,1,2,133,37,3,67,1,1,1,3
51,16-Mar-20,1,1137,1,6,wd,SPOTTED SEATROUT,8,5,8,4.5,4,1,4,133,37,3,54,1,1,1,3
52,16-Mar-20,1,1236,1,6,wd,SPOTTED SEATROUT,8,5,8,5.5,4,1,5,133,37,3,62,1,2,2,3
53,16-Mar-20,1,1427,1,6,we,SPOTTED SEATROUT,8,5,8,4,2,1,1,133,37,2,64,1,1,1,3
54,16-Mar-20,1,1431,1,6,we,SPOTTED SEATROUT,8,5,8,4,2,1,1,133,37,2,53,1,1,1,3
55,16-Mar-20,2,1452,1,6,wd,BLACK DRUM,8,5,8,8,7,1,3,133,37,3,35,1,3,2,3
56,16-Mar-20,1,1112,1,6,we,SPOTTED SEATROUT,8,5,8,5,4,1,8,13,37,3,55,1,2,2,3
57,16-Mar-20,1,1157,1,6,we,SPOTTED SEATROUT,8,5,8,3,2.5,1,4,13,37,3,74,1,2,1,3
58,16-Mar-20,1,1121,1,6,we,SPOTTED SEATROUT,8,5,8,4,3,1,3,49,37,3,29,1,1,1,3
59,16-Mar-20,1,1208,1,6,we,SPOTTED SEATROUT,8,5,8,4,3.5,1,3,49,37,3,65,1,2,1,3
60,16-Mar-20,1,1235,1,6,we,SPOTTED SEATROUT,8,5,8,6,5,1,7,49,37,3,20,1,3,3,3
61,16-Mar-20,1,1700,1,6,we,SPOTTED SEATROUT,8,5,8,11,10,1,6,49,37,3,30,1,3,3,3
62,16-Mar-20,1,1240,1,6,wd,SPOTTED SEATROUT,8,5,8,3,3,1,3,49,37,3,66,1,1,1,3
63,16-Mar-20,1,1249,1,6,wd,SPOTTED SEATROUT,8,5,8,4,4,1,4,49,37,3,70,1,1,1,3
64,16-Mar-20,1,1321,1,6,wd,SPOTTED SEATROUT,8,5,8,6,6,1,3,49,37,3,71,1,2,1,3
65,16-Mar-20,1,1324,1,6,wd,SPOTTED SEATROUT,8,5,8,6,6,1,1,49,37,3,71,1,2,1,3
66,16-Mar-20,1,1501,1,6,wd,SPOTTED SEATROUT,8,5,8,3,2.5,1,1,49,37,3,61,1,3,1,3
67,16-Mar-20,1,1443,1,6,we,SPOTTED SEATROUT,8,5,8,4,3.5,1,5,49,37,3,48,1,2,1,3
68,16-Mar-20,1,1443,1,6,we,SPOTTED SEATROUT,8,5,8,4,3.5,1,1,49,37,3,40,1,2,1,3
69,16-Mar-20,1,1645,1,6,we,SPOTTED SEATROUT,8,5,8,2.5,2.5,1,8,49,37,3,60,1,2,2,3
70,16-Mar-20,1,1240,1,6,we,SPOTTED SEATROUT,8,5,8,5,4.5,1,1,13,37,3,29,1,3,1,3
71,16-Mar-20,1,1205,1,6,we,SPOTTED SEATROUT,8,5,8,6,4.5,1,8,137,37,3,37,1,2,2,3
72,16-Mar-20,1,1340,1,6,we,SPOTTED SEATROUT,8,5,8,6,5,1,7,137,37,3,45,1,2,2,3
73,16-Mar-20,1,1210,1,6,wd,SPOTTED SEATROUT,8,5,8,5,5,1,6,137,37,3,75,1,2,2,3
74,16-Mar-20,1,1239,1,6,wd,SPOTTED SEATROUT,8,5,8,5,4,1,4,137,37,3,73,1,1,1,3
75,16-Mar-20,1,1613,1,6,wd,SPOTTED SEATROUT,8,5,8,8,5,1,1,137,37,3,45,1,2,1,3
76,16-Mar-20,1,1614,1,6,wd,SPOTTED SEATROUT,8,5,8,8,5,1,1,137,37,3,52,1,2,1,3
77,16-Mar-20,2,1145,1,6,we,SPOTTED SEATROUT,8,5,8,4.5,4.5,1,7,13,37,3,59,1,2,2,3
78,16-Mar-20,2,1323,1,6,we,SPOTTED SEATROUT,8,5,8,5,5,1,4,13,37,3,27,1,2,1,3
79,16-Mar-20,2,1551,1,6,we,SPOTTED SEATROUT,8,5,8,8,8,1,8,13,37,3,49,1,2,2,3
80,16-Mar-20,2,1431,1,6,wd,SPOTTED SEATROUT,8,5,8,6.5,6,2,0,137,37,3,42,1,1,1,3
81,16-Mar-20,1,1353,1,6,wd,SPOTTED SEATROUT,8,5,8,5,4,1,2,129,37,3,31,1,2,1,3
82,16-Mar-20,1,1201,1,6,wd,SPOTTED SEATROUT,8,5,8,4,3,1,1,129,37,3,31,1,2,1,3
83,16-Mar-20,1,1620,1,6,wd,RED DRUM,8,5,8,5,3.5,1,5,129,37,3,23,1,3,3,3
84,16-Mar-20,2,1503,1,6,wd,RED DRUM,8,5,8,5,4,1,1,129,37,5,66,1,2,1,3
85,16-Mar-20,2,1503,1,6,wd,RED DRUM,8,5,8,5,4,1,1,129,37,5,73,1,2,1,3
86,16-Mar-20,1,1148,1,6,we,SPOTTED SEATROUT,8,5,8,6,5,1,4,129,37,2,31,1,2,2,3
87,16-Mar-20,1,1328,1,6,we,SPOTTED SEATROUT,8,5,8,4,3.5,1,1,129,37,2,58,1,2,1,3
88,16-Mar-20,1,1234,1,6,we,SPOTTED SEATROUT,8,5,8,3,2,1,2,129,37,3,60,1,1,1,3
89,16-Mar-20,1,1617,1,6,we,SPOTTED SEATROUT,8,5,8,8,6.5,2,0,129,37,2,34,1,2,1,3
90,16-Mar-20,2,1319,1,6,wd,SPOTTED SEATROUT,8,5,8,6,5,1,1,19,37,3,40,1,2,1,3
91,16-Mar-20,1,1457,1,6,we,SPOTTED SEATROUT,8,5,8,3.5,2.5,1,1,55,37,G,45,1,2,1,3
92,16-Mar-20,1,1604,1,6,we,SPOTTED SEATROUT,8,5,8,5,4.5,1,3,31,37,3,27,1,2,2,3
93,16-Mar-20,1,1632,1,6,we,SPOTTED SEATROUT,8,5,8,5,4,2,0,31,37,3,31,1,3,1,3
94,16-Mar-20,1,1640,1,6,we,SHEEPSHEAD,8,5,8,5,4,1,3,31,37,3,54,1,1,1,3
95,16-Mar-20,2,1316,1,6,wd,KINGFISH GENUS,8,5,8,4,3.5,1,20,31,37,3,50,1,1,1,3
96,16-Mar-20,2,1616,1,6,we,SPOTTED SEATROUT,8,5,8,7,5.5,1,1,31,37,5,66,1,2,1,3
97,16-Mar-20,2,1322,1,6,we,SPOTTED SEATROUT,8,5,8,3,2.5,1,4,31,37,3,71,1,1,1,3
98,16-Mar-20,2,1435,1,6,we,KINGFISH GENUS,8,5,8,6,5,1,9,31,37,3,46,1,3,2,3
99,16-Mar-20,1,1436,1,6,we,SPOTTED SEATROUT,8,5,8,4,3.5,1,1,31,37,3,68,1,1,1,3
100,16-Mar-20,2,1447,1,6,wd,BLACK DRUM,8,5,8,4,3.5,1,2,31,37,3,66,1,2,2,3
101,16-Mar-20,2,1422,1,6,we,SPOTTED SEATROUT,8,5,8,4,1.5,2,0,31,37,3,27,1,1,1,3
102,16-Mar-20,2,1224,1,6,we,SPOTTED SEATROUT,8,5,8,5,3,1,8,137,37,3,47,1,2,2,3
103,16-Mar-20,2,1236,1,6,we,SPOTTED SEATROUT,8,5,8,6,5,1,5,137,37,3,48,1,2,2,3
104,16-Mar-20,2,1251,1,6,we,SPOTTED SEATROUT,8,5,8,6,6,1,8,137,37,3,65,1,2,2,3
105,16-Mar-20,2,1451,1,6,we,SPOTTED SEATROUT,8,5,8,6,5.5,1,1,137,37,3,74,1,2,1,3
106,16-Mar-20,2,1530,1,6,we,SPOTTED SEATROUT,8,5,8,6,4,1,4,137,37,3,36,1,2,2,3
107,16-Mar-20,2,1552,1,6,we,SPOTTED SEATROUT,8,5,8,5,4,1,5,31,37,3,38,1,3,3,3
108,16-Mar-20,2,1530,1,6,we,RED DRUM,8,5,8,2,2,1,1,31,37,3,43,1,2,1,3
109,18-May-18,4,1317,2,6,we,RED DRUM,7,1,1,6,5,1,1,129,37,1,30,1,3,1,3
110,18-May-18,4,1530,2,6,we,RED DRUM,7,1,1,4,3.5,2,0,129,37,1,45,1,4,1,3
111,17-May-19,4,1122,2,6,wd,BLUEFISH,7,1,1,4,2.5,2,0,55,37,1,36,1,5,1,3
112,17-May-19,4,1127,2,6,wd,BLUEFISH,7,1,1,4,2.5,2,0,55,37,1,28,1,5,1,3
113,17-May-19,4,1128,2,6,wd,BLUEFISH,7,1,1,4,2.5,2,0,55,37,1,33,1,5,1,3
114,17-May-19,4,1627,2,6,we,WAHOO,7,2,2,11,5,1,22,31,37,1,63,1,4,4,3
115,18-May-18,4,1658,2,6,wd,DOLPHIN,7,2,2,9,5,1,11,31,37,1,46,1,5,5,3
116,17-May-19,4,1648,2,6,wd,YELLOWFIN TUNA,7,2,2,11.5,7,1,26,31,37,1,68,1,6,6,3
117,18-May-18,4,1145,2,6,we,ATLANTIC BONITO,7,2,2,5,4,2,0,129,37,1,16,1,6,1,3
118,18-May-18,4,1147,2,6,we,ATLANTIC BONITO,7,2,2,5,4,2,0,129,37,1,15,1,6,1,3
119,18-May-18,4,1149,2,6,we,ATLANTIC BONITO,7,2,2,5,4,2,0,129,37,1,13,1,6,1,3
120,18-May-18,4,1151,2,6,we,ATLANTIC BONITO,7,2,2,5,4,2,0,129,37,1,48,1,6,1,3
121,18-May-18,4,1153,2,6,we,ATLANTIC BONITO,7,2,2,5,4,2,0,129,37,1,46,2,6,1,3
122,18-May-18,4,1358,2,6,we,TUNA GENUS,7,2,2,9,5,1,17,55,37,1,39,1,6,6,3
123,18-May-18,4,1427,2,6,we,YELLOWFIN TUNA,7,2,2,9.5,5.5,1,19,55,37,1,70,1,6,6,3
124,18-May-18,4,1502,2,6,we,TUNA GENUS,7,2,2,9.5,5.5,1,14,55,37,1,17,1,6,6,3
125,18-May-18,4,1533,2,6,we,TUNA GENUS,7,2,2,10,6,1,12,55,37,1,61,1,3,3,3
126,18-May-18,4,1552,2,6,we,TUNA GENUS,7,2,2,10,6,1,8,55,37,1,50,1,4,4,3
127,18-May-18,4,1641,2,6,we,TUNA GENUS,7,2,2,10.5,6.5,1,16,55,37,1,25,1,5,5,3
128,18-May-18,4,1519,2,6,we,TUNA GENUS,7,2,2,9,5,1,4,55,37,1,62,1,6,4,3
129,18-May-18,4,1627,2,6,we,TUNA GENUS,7,2,2,10,6,1,12,55,37,1,58,1,6,6,3
130,18-May-18,4,1735,2,6,we,TUNA GENUS,7,2,2,10.5,6.5,1,7,55,37,1,37,2,3,3,3
131,18-May-18,4,1752,2,6,we,TUNA GENUS,7,2,2,10.5,6.5,1,12,55,37,1,40,1,5,5,3
132,17-May-19,4,1535,2,6,we,WAHOO,7,2,2,9,5,1,24,55,37,1,53,1,6,5,3
133,17-May-19,4,1600,2,6,wd,YELLOWFIN TUNA,7,2,2,10.5,6.5,1,3,55,37,1,58,1,4,3,3
134,17-May-19,4,1543,2,6,wd,TUNA GENUS,7,2,2,10,6,1,8,55,37,1,75,1,4,4,3
135,17-May-19,4,1634,2,6,wd,YELLOWFIN TUNA,7,2,2,11,7,1,6,55,37,1,52,1,6,4,1
136,19-May-20,3,1653,2,6,wd,TUNA GENUS,7,2,2,10,6,1,10,55,37,1,21,1,6,6,3
137,18-May-18,4,1744,2,6,we,YELLOWFIN TUNA,7,2,2,11.5,7.5,1,26,31,37,1,59,1,6,6,3
138,18-May-18,4,1757,2,6,we,DOLPHIN,7,2,2,11.5,6.5,1,20,31,37,1,30,2,6,6,3
139,18-May-18,4,1628,2,6,we,DOLPHIN,7,2,2,11,7,1,6,31,37,1,41,1,6,6,3
140,18-May-18,4,1651,2,6,we,DOLPHIN,7,2,2,11.5,7.5,1,7,31,37,1,27,1,5,5,3
141,17-May-19,4,1650,2,6,wd,WAHOO,7,2,2,11.5,7.5,1,13,31,37,1,64,1,5,5,3
142,17-May-19,4,1657,2,6,wd,WAHOO,7,2,2,11.5,7,1,15,31,37,1,65,1,5,5,1
143,19-May-20,3,1600,2,6,we,KING MACKEREL,7,2,2,9,6,2,0,133,37,1,23,1,5,1,3
144,19-May-20,3,1604,2,6,we,KING MACKEREL,7,2,2,9,6,2,0,133,37,1,20,1,5,1,3
145,19-May-20,3,1604,2,6,we,KING MACKEREL,7,2,2,9,6,2,0,133,37,1,24,1,5,1,3
146,19-May-20,3,1604,2,6,we,KING MACKEREL,7,2,2,9,6,2,0,133,37,1,27,1,5,1,3
147,18-May-18,4,1610,2,6,we,TUNA GENUS,7,2,2,10.5,6.5,1,5,55,37,1,29,1,6,5,3
148,18-May-18,4,1635,2,6,we,YELLOWFIN TUNA,7,2,2,11,7,1,12,55,37,1,53,1,6,6,3
149,18-May-18,4,1649,2,6,we,DOLPHIN,7,2,2,11.5,7.5,1,15,55,37,1,24,1,4,4,3
150,18-May-18,4,1657,2,6,we,DOLPHIN,7,2,2,11.5,7.5,1,17,55,37,1,21,1,5,5,3
151,17-May-19,4,1645,2,6,we,TUNA GENUS,7,2,2,11,7,1,11,55,37,1,60,1,5,5,3
152,17-May-19,4,1654,2,6,we,TUNA GENUS,7,2,2,11,7,1,9,55,37,1,25,1,6,6,3
153,17-May-19,4,1621,2,6,wd,DOLPHIN,7,2,2,11,7,1,25,55,37,1,54,1,5,5,3
154,17-May-19,4,1639,2,6,wd,TUNA GENUS,7,2,2,11,7,1,33,55,37,1,37,1,4,4,3
155,18-May-18,4,1649,2,6,we,YELLOWFIN TUNA,7,2,2,11,6,1,15,31,37,1,46,1,5,5,1
156,18-May-18,4,1745,2,6,wd,YELLOWFIN TUNA,7,2,2,10.5,8,1,3,55,37,1,47,1,4,3,3
157,18-May-18,4,1840,2,6,wd,YELLOWFIN TUNA,7,2,2,11.5,7,1,2,55,37,1,59,1,6,2,3
158,18-May-18,4,1500,2,6,we,YELLOWFIN TUNA,7,2,2,9.5,5.5,1,2,55,37,1,58,1,3,2,3
159,18-May-18,4,1540,2,6,we,YELLOWFIN TUNA,7,2,2,9.5,5.5,1,19,55,37,1,52,2,6,6,1
160,18-May-18,4,1608,2,6,we,YELLOWFIN TUNA,7,2,2,10.5,6.5,1,9,55,37,1,49,1,4,4,3
161,18-May-18,4,1616,2,6,we,YELLOWFIN TUNA,7,2,2,11,7,1,8,55,37,1,42,1,6,6,3
162,18-May-18,4,1635,2,6,we,YELLOWFIN TUNA,7,2,2,11.5,7.5,1,9,55,37,1,53,1,4,4,3
163,17-May-19,4,1345,2,6,we,YELLOWFIN TUNA,7,2,2,11,6,1,17,55,37,1,50,1,6,6,3
164,17-May-19,4,1319,2,6,wd,TUNA GENUS,7,2,2,8,3,1,12,55,37,1,49,1,6,6,3
165,17-May-19,4,1527,2,6,wd,DOLPHIN,7,2,2,10,6,1,11,55,37,1,52,1,6,6,3
166,18-May-18,4,1642,2,6,wd,YELLOWFIN TUNA,7,2,2,12,9,1,10,55,37,1,47,1,4,4,3
167,18-May-18,4,1456,2,6,we,YELLOWFIN TUNA,7,2,2,8,6,1,1,55,37,1,37,1,4,1,1
168,18-May-18,4,1621,2,6,we,YELLOWFIN TUNA,7,2,2,11,8.5,1,2,55,37,1,65,1,5,2,3
169,18-May-18,4,1635,2,6,we,BLUEFIN TUNA,7,2,2,11,8.5,1,1,55,37,1,54,1,5,1,3
170,18-May-18,4,1445,2,6,wd,YELLOWFIN TUNA,7,2,2,10,7.5,1,8,55,37,1,60,1,4,4,3
171,18-May-18,4,1603,2,6,wd,YELLOWFIN TUNA,7,2,2,11.5,9,1,17,55,37,1,59,1,5,5,3
172,18-May-18,4,1636,2,6,wd,YELLOWFIN TUNA,7,2,2,12.5,10,1,11,55,37,1,41,1,3,3,3
173,18-May-18,4,1639,2,6,wd,YELLOWFIN TUNA,7,2,2,12.5,10,1,7,55,37,1,47,1,2,2,3
174,18-May-18,4,1615,2,6,wd,YELLOWFIN TUNA,7,2,2,10.5,8,1,18,55,37,1,49,1,5,5,3
175,18-May-18,4,1655,2,6,wd,YELLOWFIN TUNA,7,2,2,11,8.5,1,12,55,37,1,57,1,5,5,3
176,18-May-18,4,1707,2,6,wd,YELLOWFIN TUNA,7,2,2,12,9,1,8,55,37,1,35,1,4,4,3
177,18-May-18,4,1527,2,6,we,YELLOWFIN TUNA,7,2,2,10.5,9,1,30,55,37,1,55,1,3,3,3
178,18-May-18,4,1542,2,6,we,DOLPHIN,7,2,2,11,8.5,1,17,55,37,1,60,1,6,6,3
179,18-May-18,4,1615,2,6,we,YELLOWFIN TUNA,7,2,2,11,8.5,1,12,55,37,1,47,1,6,6,3
180,18-May-18,4,1620,2,6,we,YELLOWFIN TUNA,7,2,2,11.5,9,1,15,55,37,1,53,1,6,6,3
181,18-May-18,4,1635,2,6,we,YELLOWFIN TUNA,7,2,2,11.5,9,1,32,55,37,1,43,1,6,6,1
182,18-May-18,4,1655,2,6,we,YELLOWFIN TUNA,7,2,2,12,9.5,1,9,55,37,1,39,1,6,6,3
183,18-May-18,4,1652,2,6,wd,TUNA GENUS,7,2,2,10,8,1,19,55,37,1,61,1,6,6,3
184,19-May-20,3,1434,2,6,wd,TUNA GENUS,7,2,2,8,5.5,1,12,55,37,1,58,1,2,2,3
185,19-May-20,3,1608,2,6,wd,TUNA GENUS,7,2,2,9.5,6,1,12,55,37,1,39,1,3,3,3
186,17-May-19,4,1445,2,6,wd,TUNA GENUS,7,2,2,9,6,1,16,55,37,1,58,1,5,5,3
187,17-May-19,4,1544,2,6,wd,TUNA GENUS,7,2,2,7,5,1,8,55,37,1,16,1,3,3,3
188,17-May-19,4,1704,2,6,wd,TUNA GENUS,7,2,2,12,8,1,13,55,37,1,59,1,4,4,3
189,17-May-19,4,1656,2,6,wd,TUNA GENUS,7,2,2,11,8.5,1,16,55,37,1,33,1,6,6,3
190,19-May-20,3,1942,2,6,wd,SPOTTED SEATROUT,7,5,8,5.5,5,2,0,49,37,3,41,1,4,1,3
191,19-May-20,3,1944,2,6,wd,SPOTTED SEATROUT,7,5,8,5.5,5,2,0,49,37,3,48,1,4,1,3
192,17-May-19,4,1337,2,6,wd,RED DRUM,7,5,8,5,4,1,1,129,37,3,46,1,3,1,3
193,17-May-19,4,1337,2,6,wd,RED DRUM,7,5,8,5,4,1,1,129,37,3,8,1,3,1,3
194,17-May-19,4,1337,2,6,wd,RED DRUM,7,5,8,5,4,1,1,129,37,3,11,1,3,1,3
195,18-May-18,4,1511,2,6,wd,RED DRUM,7,5,8,4,3.5,1,4,129,37,5,27,1,5,4,3
196,17-May-19,4,1447,2,6,wd,RED DRUM,7,5,8,6.5,5,1,8,129,37,3,60,2,4,4,1
197,17-May-19,4,1314,2,6,wd,RED DRUM,7,5,8,5.5,4.5,1,8,129,37,3,72,1,1,1,3
198,18-May-18,4,1217,2,6,wd,SPINY DOGFISH,7,5,8,4,3,1,1,55,37,2,12,1,6,1,3
199,18-May-18,4,1218,2,6,wd,SPINY DOGFISH,7,5,8,4,3,1,1,55,37,2,8,1,6,1,3
200,19-May-20,3,1344,2,6,wd,SPOTTED SEATROUT,7,5,8,6,5,2,0,19,37,3,31,1,1,1,3
201,19-May-20,3,1521,2,6,we,SPOTTED SEATROUT,7,5,8,6.5,5,1,3,49,37,3,45,1,3,1,3
202,18-May-18,4,1547,2,6,wd,BLUEFISH,8,1,1,2.5,2,2,0,31,37,1,47,1,2,1,1
203,18-May-18,4,1548,2,6,wd,BLUEFISH,8,1,1,2.5,2,2,0,31,37,1,16,1,2,1,1
204,17-May-19,4,1459,2,6,we,NORTHERN PUFFER,8,1,1,4,3,2,0,31,37,1,71,1,2,1,3
205,17-May-19,4,1459,2,6,we,NORTHERN PUFFER,8,1,1,4,3,2,0,31,37,1,74,1,2,1,3
206,17-May-19,4,1431,2,6,we,KINGFISH GENUS,8,1,1,5,4,2,0,31,37,1,23,1,3,1,3
207,17-May-19,4,1617,2,6,wd,ATLANTIC MENHADEN,8,1,1,5,2.5,2,0,31,37,1,25,1,2,1,1
208,17-May-19,4,1618,2,6,wd,ATLANTIC MENHADEN,8,1,1,5,2.5,2,0,31,37,1,24,1,2,1,1
209,17-May-19,4,1516,2,6,we,KINGFISH GENUS,8,1,1,7,6,2,0,31,37,1,48,1,1,1,1
210,17-May-19,4,1507,2,6,we,BLUEFISH,8,1,1,6,4.5,2,0,31,37,1,14,1,3,1,3
211,17-May-19,4,1508,2,6,we,BLUEFISH,8,1,1,6,4.5,2,0,31,37,1,14,1,3,1,3
212,17-May-19,4,1337,2,6,wd,ATLANTIC BONITO,8,1,1,5,3,1,3,31,37,1,50,1,3,3,1
213,17-May-19,4,1429,2,6,wd,LEFTEYE FLOUNDER GENUS,8,1,1,6,4,1,3,31,37,1,48,1,1,1,3
214,17-May-19,4,1527,2,6,wd,KINGFISH GENUS,8,1,1,5,4,1,24,31,37,1,69,1,2,2,3
215,17-May-19,4,1619,2,6,wd,KINGFISH GENUS,8,1,1,6.5,4,2,0,31,37,1,48,1,4,1,3
